key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
BG,74.963415,37,6,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.71509,308.97641
BH,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.1863,344.37994
BI,61.247,,5.1,41,310.651,253.135,179.9,22.9,,0.8526,0.1001,23.500433,5.9839101
BJ,61.47,6.4,1,60.5,258.647,211.008,205,19.6,,0.3888,0.0791,30.766447,13.838727
BM,81.651707,,6.7,,,,,,,,,,
BN,75.722,16.9,13.3,9.8,143.719,98.803,13.3,16.6,2.7,5.8974,1.609,671.4115,34.756348
BO,71.239,,6.8,21.8,219.194,138.315,63.7,17.2,,1.5589,1.5901,220.27457,55.240124
BR,75.672,13.9,10.4,12.8,188.528,91.421,29.9,16.6,,10.119,2.1643,928.79932,255.00644
BS,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.5355,548.86548
BT,71.46,,10.3,24.8,197.28,194.721,124.5,23.3,,1.8518,0.4242,96.799301,12.880568
BW,69.275,20,5.8,30,249.384,161.962,101.3,20.3,,5.403,0.5269,465.92932,13.946393
BY,74.17561,26.7,5,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.49991,94.238846
BZ,74.496,,17.1,11.2,213.827,117.655,68.6,22.1,,2.3414,1.1229,280.49881,67.754105
CA,81.94878,14.3,7.6,4.3,82.625,51.763,7,9.8,,9.9438,2.6102,4754.9478,676.14172
CD,60.368,,6,68.2,273.573,224.637,163.9,19.4,,1.1101,0.074,19.431646,7.7968936
CF,52.805,,6,84.5,452.968,371.323,211.9,23.1,,0.2063,0.0721,24.150055,7.5321841
CG,64.29,26.9,6,36.2,279.572,240.201,130.7,16.7,,0.6271,,49.983723,24.192739
CH,83.753659,25.7,5.7,3.7,58.204,35.896,10.1,8.6,,17.5357,4.2957,9956.2598,2882.0371
CI,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821
CL,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.9862,463.43771
CM,58.921,,6,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634
CN,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17,,2.6621,1.9798,440.82562,158.91945
CN_HK,84.22683,,,,,,,,,,,,
CN_MO,83.849,,,,,,,,,,,,
CO,77.109,9,7.4,12.2,151.616,77.999,37,15.8,,1.3309,2.1848,459.19757,74.887901
CR,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.07776,184.72585
CU,78.726,35.2,9.6,3.7,113.198,73.993,49.5,16.4,,7.5614,8.4218,987.62701,103.52962
CV,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.58961,48.427498
CW,78.017073,,11.6,,130.145,63.365,,,,,,,
CY,80.828,36.4,9,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.6945,772.8905
CZ,79.029268,34.3,7,2.7,108.785,51.325,29.6,15,6.5,8.3955,4.1208,1475.9152,218.56979
DE,80.892683,30.6,10.4,3.1,86.511,48.026,16,12.1,,13.2352,4.2488,5033.4521,637.88525
DJ,66.582,13.1,5.1,49.8,232.137,178.345,159,19.6,,,,70.330894,18.640654
DK,80.953659,19.1,8.3,3.6,82.426,51.652,13.2,11.3,2.5,10.3195,4.0099,5800.1514,796.85187
DM,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.59445,136.07626
DO,73.892,13.7,8.6,24.1,197.349,114.55,43,19,,1.3802,1.56,433.20859,193.80969
DZ,76.693,15.6,6.7,20.1,102.851,80.672,49.7,14.2,1.9,1.5477,1.7193,258.49429,84.136894
EC,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13,,2.5059,2.0368,518.0296,204.09593
EE,78.243902,31.3,4.2,2.1,154.542,56.077,25,17,5,11.1558,4.4833,1300.4817,307.75409
EG,71.825,25.2,17.2,18.1,182.7,105.456,108.9,27.7,,1.9262,0.4521,105.76846,63.548351
ER,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075
ES,83.431707,29.3,6.9,2.5,74.537,37.537,9.9,9.9,,5.7295,3.8723,2506.4648,590.66827
ES_CT,83.63,,,,,,,,,,,,
ET,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.6923828
FI,81.734146,20.4,5.6,1.4,89.21,44.026,7.2,10.2,4.4,14.7374,3.8118,4205.7427,850.71332
FJ,67.341,22.6,14.7,21.6,256.995,174.97,99,30.6,,3.3752,0.86,188.41432,29.381798
FM,67.755,,11.9,25.6,177.715,146.294,151.8,26.1,,2.0426,,424.80978,10.210433
FO,82.54878,,4.7,,,,,,,,,,
FR,82.72439,32.7,4.8,3.4,95.352,48.187,9.7,10.6,,11.4707,3.2672,4379.7271,411.0032
FR_MF,79.870732,,,,,,,,,,,,
GA,66.187,,6,32.7,238.333,182.317,76,14.4,,2.946,0.6819,204.49225,51.442871
GB,81.256098,22.3,3.9,3.6,86.107,55.36,13.8,10.9,,8.1723,2.8117,3858.6743,615.7218
GD,72.384,,10.7,13.7,179.054,117.738,45.3,21.4,,6.2837,1.4067,497.23605,260.62051
GE,73.6,28.8,5.8,8.7,221.61,77.23,101.8,24.9,,4.7293,7.1201,293.05359,160.48174
GH,63.78,3.9,2.5,34.9,254.991,214.333,203.8,20.8,,4.2001,0.1359,66.749413,26.894472
GL,70.84878,,2.1,,,,,,,,,,
GM,61.735,15.5,1.9,39,279.951,224.406,237,20.4,,1.5447,0.1021,23.272326,5.1272211
GN,61.185,,2.4,64.9,260.356,232.889,243.3,22.4,,0.1238,0.0832,33.720112,19.113756
GQ,58.402,,6,62.6,334.453,294.556,177.7,22,,0.5024,0.4017,301.15005,231.25919
GR,81.787805,43.4,4.7,3.6,93.96,42.478,27.6,12.4,4.3,3.6331,5.4789,1516.5878,527.0174
GT,74.063,,10,22.1,201.48,111.16,73.8,14.9,,0.0737,0.3549,259.93503,140.71352
GU,79.859,,18.7,,79.819,39.075,,,,,,,
GW,58.003,,2.4,54,373.99,301.21,214.7,20,,0.6851,0.1274,52.359409,37.730824
GY,69.774,,11.6,25.1,268.873,182.082,107.8,30.5,,1.0398,0.8023,230.52728,74.853691
HK,84.934146,,4.5,,61.901,33.104,,,,,,,
HN,75.088,2,7.3,15.1,166.999,115.541,60.7,14,,0.7357,0.3089,195.93575,95.423988
HR,78.070732,37,5.4,4,117.544,49.809,35.5,16.7,5.6,8.1224,2.9996,902.13965,98.994057
HT,63.66,12.7,6.7,49.5,257.443,197.41,184.3,26.5,,0.6798,0.2343,62.353279,25.083418
HU,76.065854,30.6,6.9,3.6,168.058,80.586,38.8,23,,6.9157,3.4075,981.42303,263.94711
ID,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.97179,39.786812
IE,82.256098,24.3,3.2,3.1,71.299,41.591,11.9,10.3,,16.0996,3.3125,4976.8623,611.21423
IL,82.802439,25.2,9.7,3,70.873,39.638,15.4,9.6,,5.7002,4.6249,3144.6262,699.70721
IM,77.96585,,,,,,,,,,,,
IN,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937
IQ,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.31371,122.073
IR,76.479,11,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.54407
IS,82.860976,14.7,5.8,1.5,65.669,38.181,8.7,9.1,,16.2132,4.0778,6086.3115,1003.0472
IT,83.346341,23.7,5,2.6,,,15,9.5,,5.7401,3.9774,2840.1306,667.02759
JM,74.368,16.8,11.3,12.4,175.464,104.39,25.4,14.7,,0.8068,1.3061,307.19604,52.928936
JO,74.405,,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.6618,103.65462
JP,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957
KE,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661
KG,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,,,,78.822838,44.43766
KH,69.57,17.2,6.4,24,199.971,132.376,149.8,21.1,0.8,0.6855,,82.075867,49.603271
KI,68.116,47,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,,171.41748,0.19236401
KM,64.118,14,12.3,51.3,245.527,194.435,172.4,22.9,,0.6285,0.2715,58.760929,43.863342
KN,71.33659,,13.3,9.8,,,,,,4.2188,2.6758,902.659,431.19946
KP,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,
KR,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.0747,768.68945
KW,75.398,22.5,12.2,6.7,69.179,41.12,103.8,17.4,,7.4145,2.6463,1529.0776,192.89787
KY,82.19024,,6.8,,,,,,,,,,
KZ,73.15,24,6.1,8.8,220.812,94.435,62.7,26.8,,7.2936,,279.64532,92.700966
LA,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27,,0.9522,0.3726,62.124634,28.691248
LB,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.44348,238.99011
LC,76.057,,11.6,14.9,174.722,97.187,30,18.8,,3.1547,0.6409,460.06882,205.89505
LI,83.041463,,9.4,,,,,,,,,,
LK,76.812,13,10.7,6.4,151.16,56.065,79.8,17.4,,2.1803,1.0041,159.48474,79.356094
LR,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,,0.5321,0.0376,56.59903,25.756157
LS,53.705,26.7,4.5,65.7,545.675,419.363,177.6,26.6,,3.2567,,104.5528,17.400345
LT,75.680488,28.8,3.8,3.3,212.885,78.821,34,20.7,,9.8472,6.3528,1078.1792,347.96954
LU,82.295122,23.5,5,1.9,66.343,41.193,11.6,10,4.8,12.1744,3.009,5782.6284,618.13641
LV,74.782927,37,5,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.35236,390.63245
LY,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,
MA,76.453,23.4,7,19.2,72.327,62.159,49.1,12.4,,1.3887,0.7308,161.01086,86.843163
MC,,,2.9,2.6,,,,,,,,2932.4219,201.98048
MD,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,,4.9235,3.2066,191.18578,83.424835
ME,76.77,45.9,9,2.3,125.094,65.97,78.6,20.6,,5.2294,2.7557,,
MG,66.681,,4.5,38.2,232.545,181.739,159.6,22.9,,0.146,,24.670837,6.0900979
MH,65.23902,,30.5,27.4,,,,,,3.339,,642.19916,79.719673
MK,75.688,,9.3,8.7,119.81,63.418,82.2,20.3,,3.7917,2.8736,328.4198,104.78436
ML,58.893,12.3,2.4,62,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797
MM,66.867,20.3,3.9,36.8,247.696,149.971,156.4,24.2,,0.9993,0.677,58.043957,44.247471
MN,69.689,25.6,4.7,14,288.357,123.173,155.9,30.2,,3.8938,2.8592,148.78445,47.837875
MO,84.118,,4.3,,58.271,24.487,,,,,,,
MR,64.704,,7.1,51.5,218.359,176.149,169.5,18.1,,0.9252,0.1865,48.817131,24.186684
MT,82.44878,25.5,8.3,6.1,63.699,35.056,20.2,10.8,,9.4833,2.8598,2585.564,898.58148
MU,74.416341,21.6,22,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.69977,293.04718
MV,78.627,28.3,9.2,7.4,67.456,42.149,25.6,13.4,,6.4282,4.5627,1006.9388,207.90265
MW,63.798,14.5,4.5,35.3,325.106,212.388,115,16.4,,0.4386,0.0358,32.259384,3.416394
MX,74.992,14,13.5,11,184.379,95.815,36.7,15.7,1.5,2.3961,2.3827,494.67764,204.21915
MY,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.06607,145.74231
MZ,60.163,16.6,3.3,54,389.521,268.188,110,18.4,,0.6847,0.0838,21.071156,1.5582825
NA,63.373,21.4,4.5,29,349.317,248.938,145,21.3,,1.954,0.4182,447.28064,34.593563
NC,77.14878,,21.8,,98.003,56.743,,,,,,,
NE,62.024,7.7,2.4,48,251.729,222.743,251.8,20,0.3,0.2695,0.0433,29.26165,13.995413
NG,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425
NI,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363
NL,81.812195,25.8,5.4,3.3,65.56,51.048,13.7,11.2,,11.1839,3.6054,4911.4404,544.52814
NO,82.758537,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.1626
NP,70.478,22.8,7.2,26.7,167.316,129.611,193.8,21.8,,3.1084,0.7486,47.915363,27.694386
NR,,40,12,26.4,,,,,,7.6636,1.3462,1106.751,10.232119
NZ,81.858537,16,6.2,4.7,,,7.2,10.1,,12.4482,3.5898,3937.2219,534.55957
OM,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.6463,39.328762
PA,78.329,6.1,7.7,13.1,148.159,76.653,25.8,13,,3.0741,1.5687,1112.3032,370.06403
PE,76.516,4.8,6.6,11.1,146.37,84.815,63.9,12.6,,2.4398,1.3048,332.57092,93.745949
PF,77.462,,19.5,,112.857,66.154,,,,,,,
PG,64.263,36.3,17.9,38,251.144,187.7,152,30,,0.4548,0.0699,61.45784,5.5303111
PH,71.095,24.3,7.1,22.5,235.071,130.91,185.2,26.8,,4.9351,0.6004,132.90099,70.49836
PK,67.114,20.1,19.9,57.2,172.896,137.509,173.6,24.7,,0.6683,0.9801,44.592964,26.861408
PL,77.602439,28,6.1,3.8,160.653,61.842,37.9,18.7,,6.8926,2.3788,906.82013,209.02016
PR,79.778195,,13.7,,146.208,63.033,,,,,,,
PS,73.895,,9.5,17.3,126.513,92.308,,,,,,,
PT,81.32439,22.7,9.8,3.1,103.994,42.442,9.8,11.1,,6.9746,5.124,1908.0339,525.32147
PW,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.3629,246.75018
PY,74.131,13.4,9.6,17.2,163.978,120.525,57.5,17.5,,1.6604,1.3544,381.11307,168.36148
QA,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.1862,146.82141
RO,75.358537,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.10474,113.73011
RS,75.890244,38.9,9,4.8,141.791,74.794,62.5,19.1,,6.0855,3.1131,528.54517,220.68007
RU,72.657317,39.3,6.1,6.1,,,49.4,25.4,,8.5429,4.0139,585.87323,237.23813
RW,68.7,12.3,5.1,27,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.0742941
SA,74.998,15.6,15.8,6,91.872,76.148,83.7,16.4,,5.4763,2.6117,1093.4055,184.34586
SB,72.835,,19,17.1,162.895,124.818,137,23.8,,2.1642,0.1937,101.23987,5.4661045
SC,72.841463,21.5,12.3,12.4,201.609,97.723,49.3,21.2,,8.0773,2.1212,791.65668,194.743
SD,65.095,,22.1,42.1,244.878,187.141,184.9,26,,0.6952,0.2618,193.79305,140.46056
SE,82.558537,18.8,4.8,2.2,62.062,38.431,7.2,9.1,,11.8164,3.984,5904.584,887.61273
SG,83.146341,16.5,5.5,2.3,59.839,34.939,25.9,9.3,2.4,6.2432,2.2936,2618.7124,841.2677
SI,81.378049,22.5,5.9,1.7,90.934,45.488,22.6,12.7,,9.9745,3.0861,1920.2819,236.73557
SK,77.265854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388
SL,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,,0.2239,,66.402184,33.475037
SM,85.41707,,5.9,1.7,,,,,,,,3361.6448,582.70752
SN,67.665,8.2,2.4,31.8,216.045,144.704,160.7,18.1,,0.3127,0.0691,55.014038,28.827259
SO,57.068,,5.1,76.6,324.793,269.466,212.8,21.8,,,,,
SR,71.57,25,12.5,16.9,219.754,118.443,56.7,21.7,,2.7569,1.2101,339.32797,89.513321
SS,57.604,,10.2,63.7,350.689,300.898,165.1,19.8,,,,22.888573,4.3929615
ST,70.17,,2.4,24.4,188.249,124.395,162.4,18.5,,1.9242,0.0531,119.69566,16.489943
SV,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356
SX,78.292683,,6.8,,,,,,,,,,
SY,71.779,,13.5,14,237.292,73.258,75.2,21.8,,1.5406,1.2874,,
SZ,59.401,9,4.5,43,479.936,309.883,137,26.7,,4.1415,0.3285,224.73677,23.59005
TD,53.977,,6,71.4,377.607,335.378,280.1,23.9,,0.2322,0.0434,29.730864,17.250788
TG,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,,0.4102,0.0774,38.048714,22.228106
TH,76.931,19.9,7,7.8,186.853,77.992,61.5,14.5,,2.7593,0.805,247.03511,27.535921
TJ,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151
TL,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.9427786
TM,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.48267,332.12778
TN,76.505,32.7,8.5,14.6,106.668,67.321,56.1,16.1,2.3,2.5136,1.3025,250.56223,98.020348
TO,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,,4.157,,222.01549,23.601473
TR,77.437,27.2,11.1,9.1,119.237,62.33,46.6,16.1,,2.7107,1.8492,444.65369,77.299492
TT,73.38,,11,16.4,186.336,108.616,38.6,21.3,,4.0934,4.1675,1124.0917,447.13483
TV,,,22.1,20.6,,,,,,4.2609,,622.1767,3.2488816
TZ,65.015,14.8,5.7,37.6,249.798,193.172,139,17.9,,0.5843,0.014,33.916576,8.1725845
UA,71.582683,28.9,6.1,7.5,,,70.7,24.7,,,,177.40889,92.814873
UG,62.973,10,2.5,33.8,302.371,233.267,155.7,21.9,,1.2382,0.168,38.426441,15.013752
US,78.539024,21.8,10.8,5.6,139.141,81.935,13.3,14.6,,14.548,2.612,10246.139,1126.35
US_GU,79.575,,,,,,,,,,,,
US_PR,79.78832,,,,,,,,,,,,
US_VI,79.26829,,,,,,,,,,,,
UY,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.5332,279.30505
UZ,71.573,12.6,6.5,19.1,169.704,100.911,81.1,24.5,,,,98.824577,52.803318
VC,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.59329,99.984779
VE,72.128,,7,21.4,206.678,94.804,34.6,18.1,,0.9416,,94.229378,59.353085
VG,,,14.2,,,,,,,,,,
VI,79.568293,,12.3,,70.177,41.141,,,,,,,
VN,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341
VU,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.66653,9.4681015
WS,73.187,27.7,9.2,13.6,138.239,80.735,85,20.6,,2.4885,0.3445,233.06506,27.634661
YE,66.096,18.4,5.4,42.9,219.749,174.558,194.2,30.6,,0.7852,,72.039467,58.321163
ZA,63.857,20.3,12.7,28.5,376.404,248.816,86.7,26.2,,1.3078,0.9054,499.23755,38.775391
ZM,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,,1.3376,1.1867,67.648666,8.0157795
ZW,61.195,15.8,1.8,33.9,373.207,337.702,133,19.3,,1.9346,0.2096,110.14962,22.715431
