key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level
AT_34,Q38981,nuts/AT34,AT,Austria,34,Vorarlberg,,,AT,AUT,1
AU,Q408,country/AUS,AU,Australia,,,,,AU,AUS,0
AU_ACT,Q3258,,AU,Australia,ACT,Australian Capital Territory,,,AU,AUS,1
AU_NSW,Q3224,,AU,Australia,NSW,New South Wales,,,AU,AUS,1
AU_NT,Q3235,,AU,Australia,NT,Northern Territory,,,AU,AUS,1
AU_QLD,Q36074,,AU,Australia,QLD,Queensland,,,AU,AUS,1
AU_SA,Q35715,,AU,Australia,SA,South Australia,,,AU,AUS,1
AU_TAS,Q34366,,AU,Australia,TAS,Tasmania,,,AU,AUS,1
AU_VIC,Q36687,,AU,Australia,VIC,Victoria,,,AU,AUS,1
AU_WA,Q3206,,AU,Australia,WA,Western Australia,,,AU,AUS,1
AW,Q21203,country/ABW,AW,Aruba,,,,,AW,ABW,0
AZ,Q227,country/AZE,AZ,Azerbaijan,,,,,AZ,AZE,0
BA,Q225,country/BIH,BA,Bosnia and Herzegovina,,,,,BA,BIH,0
BB,Q244,country/BRB,BB,Barbados,,,,,BB,BRB,0
BD,Q902,country/BGD,BD,Bangladesh,,,,,BD,BGD,0
BE,Q31,country/BEL,BE,Belgium,,,,,BE,BEL,0
BF,Q965,country/BFA,BF,Burkina Faso,,,,,BF,BFA,0
BG,Q219,country/BGR,BG,Bulgaria,,,,,BG,BGR,0
BH,Q398,country/BHR,BH,Bahrain,,,,,BH,BHR,0
BI,Q967,country/BDI,BI,Burundi,,,,,BI,BDI,0
BJ,Q962,country/BEN,BJ,Benin,,,,,BJ,BEN,0
BM,Q23635,country/BMU,BM,Bermuda,,,,,BM,BMU,0
BN,Q921,country/BRN,BN,Brunei,,,,,BN,BRN,0
BO,Q750,country/BOL,BO,Bolivia,,,,,BO,BOL,0
BO_B,Q233169,,BO,Bolivia,B,Beni,,,BO,BOL,1
BO_C,Q233917,,BO,Bolivia,C,Cochabamba,,,BO,BOL,1
BO_H,Q235110,,BO,Bolivia,H,Chuquisaca,,,BO,BOL,1
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1
BO_N,Q235362,,BO,Bolivia,N,Pando,,,BO,BOL,1
BO_O,Q1061368,,BO,Bolivia,O,Oruro,,,BO,BOL,1
BO_P,Q238079,,BO,Bolivia,P,Potosí,,,BO,BOL,1
BO_S,Q235106,,BO,Bolivia,S,Santa Cruz,,,BO,BOL,1
BO_T,Q233933,,BO,Bolivia,T,Tarija,,,BO,BOL,1
BQ,Q27561,country/BES,BQ,Caribbean Netherlands,,,,,BQ,BES,0
BR,Q155,country/BRA,BR,Brazil,,,,,BR,BRA,0
BR_AC,Q40780,,BR,Brazil,AC,Acre,,,BR,BRA,1
BR_AL,Q40885,,BR,Brazil,AL,Alagoas,,,BR,BRA,1
BR_AM,Q40040,,BR,Brazil,AM,Amazonas,,,BR,BRA,1
BR_AP,Q40130,,BR,Brazil,AP,Amapá,,,BR,BRA,1
BR_BA,Q40430,,BR,Brazil,BA,Bahia,,,BR,BRA,1
BR_CE,Q40123,,BR,Brazil,CE,Ceará,,,BR,BRA,1
BR_DF,Q119158,,BR,Brazil,DF,Distrito Federal,,,BR,BRA,1
BR_ES,Q43233,,BR,Brazil,ES,Espirito Santo,,,BR,BRA,1
BR_GO,Q41587,,BR,Brazil,GO,Goiás,,,BR,BRA,1
BR_MA,Q42362,,BR,Brazil,MA,Maranhão,,,BR,BRA,1
BR_MG,Q39109,,BR,Brazil,MG,Minas Gerais,,,BR,BRA,1
BR_MS,Q43319,,BR,Brazil,MS,Mato Grosso do Sul,,,BR,BRA,1
BR_MT,Q42824,,BR,Brazil,MT,Mato Grosso,,,BR,BRA,1
BR_PA,Q39517,,BR,Brazil,PA,Pará,,,BR,BRA,1
BR_PB,Q38088,,BR,Brazil,PB,Paraíba,,,BR,BRA,1
BR_PE,Q40942,,BR,Brazil,PE,Pernambuco,,,BR,BRA,1
BR_PI,Q42722,,BR,Brazil,PI,Piauí,,,BR,BRA,1
BR_PR,Q15499,,BR,Brazil,PR,Paraná,,,BR,BRA,1
BR_RJ,Q41428,,BR,Brazil,RJ,Rio de Janeiro,,,BR,BRA,1
BR_RN,Q43255,,BR,Brazil,RN,Rio Grande do Norte,,,BR,BRA,1
BR_RO,Q43235,,BR,Brazil,RO,Rondônia,,,BR,BRA,1
BR_RR,Q42508,,BR,Brazil,RR,Roraima,,,BR,BRA,1
BR_RS,Q40030,,BR,Brazil,RS,Rio Grande do Sul,,,BR,BRA,1
BR_SC,Q41115,,BR,Brazil,SC,Santa Catarina,,,BR,BRA,1
BR_SE,Q43783,,BR,Brazil,SE,Sergipe,,,BR,BRA,1
BR_SP,Q175,,BR,Brazil,SP,São Paulo,,,BR,BRA,1
BR_TO,Q43695,,BR,Brazil,TO,Tocantins,,,BR,BRA,1
BS,Q778,country/BHS,BS,Bahamas,,,,,BS,BHS,0
BT,Q917,country/BTN,BT,Bhutan,,,,,BT,BTN,0
BV,Q23408,country/BVT,BV,Bouvet Island,,,,,BV,BVT,0
BW,Q963,country/BWA,BW,Botswana,,,,,BW,BWA,0
BY,Q184,country/BLR,BY,Belarus,,,,,BY,BLR,0
BZ,Q242,country/BLZ,BZ,Belize,,,,,BZ,BLZ,0
CA,Q16,country/CAN,CA,Canada,,,,,CA,CAN,0
CA_AB,Q1951,,CA,Canada,AB,Alberta,,,CA,CAN,1
CA_BC,Q1974,,CA,Canada,BC,British Columbia,,,CA,CAN,1
CA_MB,Q1948,,CA,Canada,MB,Manitoba,,,CA,CAN,1
CA_NB,Q1965,,CA,Canada,NB,New Brunswick,,,CA,CAN,1
CA_NL,Q2003,,CA,Canada,NL,Newfoundland and Labrador,,,CA,CAN,1
CA_NS,Q1952,,CA,Canada,NS,Nova Scotia,,,CA,CAN,1
CA_NT,Q2007,,CA,Canada,NT,Northwest Territories,,,CA,CAN,1
CA_NU,Q2023,,CA,Canada,NU,Nunavut,,,CA,CAN,1
CA_ON,Q1904,,CA,Canada,ON,Ontario,,,CA,CAN,1
CA_PE,Q1979,,CA,Canada,PE,Prince Edward Island,,,CA,CAN,1
CA_QC,Q176,,CA,Canada,QC,Quebec,,,CA,CAN,1
CA_SK,Q1989,,CA,Canada,SK,Saskatchewan,,,CA,CAN,1
CA_YT,Q2009,,CA,Canada,YT,Yukon,,,CA,CAN,1
CC,Q36004,country/CCK,CC,Cocos Islands,,,,,CC,CCK,0
CD,Q974,country/COD,CD,Democratic Republic of the Congo,,,,,CD,COD,0
CF,Q929,country/CAF,CF,Central African Republic,,,,,CF,CAF,0
CG,Q971,country/COG,CG,Republic of the Congo,,,,,CG,COG,0
CH,Q39,country/CHE,CH,Switzerland,,,,,CH,CHE,0
CH_AG,Q11972,nuts/CH033,CH,Switzerland,AG,Aargau,,,CH,CHE,1
CH_AI,Q12094,nuts/CH054,CH,Switzerland,AI,Appenzell Innerrhoden,,,CH,CHE,1
CH_AR,Q12079,nuts/CH053,CH,Switzerland,AR,Appenzell Ausserrhoden,,,CH,CHE,1
CH_BE,Q11911,nuts/CH021,CH,Switzerland,BE,Bern,,,CH,CHE,1
CH_BL,Q12146,nuts/CH032,CH,Switzerland,BL,Basel-Landschaft,,,CH,CHE,1
CH_BS,Q12172,nuts/CH031,CH,Switzerland,BS,Basel-Stadt,,,CH,CHE,1
CH_FR,Q12640,nuts/CH022,CH,Switzerland,FR,Fribourg,,,CH,CHE,1
CH_GE,Q11917,nuts/CH013,CH,Switzerland,GE,Geneva,,,CH,CHE,1
CH_GL,Q11922,nuts/CH051,CH,Switzerland,GL,Glarus,,,CH,CHE,1
CH_GR,Q11925,nuts/CH056,CH,Switzerland,GR,Grisons,,,CH,CHE,1
CH_JU,Q12755,nuts/CH025,CH,Switzerland,JU,Jura,,,CH,CHE,1
CH_LU,Q12121,nuts/CH061,CH,Switzerland,LU,Lucerne,,,CH,CHE,1
CH_NE,Q12738,nuts/CH024,CH,Switzerland,NE,Neuchâtel,,,CH,CHE,1
CH_NW,Q12592,nuts/CH065,CH,Switzerland,NW,Nidwalden,,,CH,CHE,1
CH_OW,Q12573,nuts/CH064,CH,Switzerland,OW,Obwalden,,,CH,CHE,1
CH_SG,Q12746,nuts/CH055,CH,Switzerland,SG,St. Gallen,,,CH,CHE,1
CH_SH,Q12697,nuts/CH052,CH,Switzerland,SH,Schaffhausen,,,CH,CHE,1
CH_SO,Q11929,nuts/CH023,CH,Switzerland,SO,Solothurn,,,CH,CHE,1
CH_SZ,Q12433,nuts/CH063,CH,Switzerland,SZ,Schwyz,,,CH,CHE,1
CH_TG,Q12713,nuts/CH057,CH,Switzerland,TG,Thurgau,,,CH,CHE,1
CH_TI,Q12724,nuts/CH070,CH,Switzerland,TI,Ticino,,,CH,CHE,1
CH_UR,Q12404,nuts/CH062,CH,Switzerland,UR,Uri,,,CH,CHE,1
CH_VD,Q12771,nuts/CH011,CH,Switzerland,VD,Vaud,,,CH,CHE,1
CH_VS,Q834,nuts/CH012,CH,Switzerland,VS,Valais,,,CH,CHE,1
CH_ZG,Q11933,nuts/CH066,CH,Switzerland,ZG,Zug,,,CH,CHE,1
CH_ZH,Q11943,nuts/CH040,CH,Switzerland,ZH,Zürich,,,CH,CHE,1
CI,Q1008,country/CIV,CI,Ivory Coast,,,,,CI,CIV,0
CK,Q26988,country/COK,CK,Cook Islands,,,,,CK,COK,0
CL,Q298,country/CHL,CL,Chile,,,,,CL,CHL,0
CL_AI,Q2181,,CL,Chile,AI,Aysén,,,CL,CHL,1
CL_AN,Q2118,,CL,Chile,AN,Antofagasta,,,CL,CHL,1
CL_AP,Q2109,,CL,Chile,AP,Arica y Parinacota,,,CL,CHL,1
CL_AR,Q2176,,CL,Chile,AR,Araucanía,,,CL,CHL,1
CL_AT,Q2120,,CL,Chile,AT,Atacama,,,CL,CHL,1
CL_BI,Q2170,,CL,Chile,BI,Biobío,,,CL,CHL,1
CL_CO,Q2121,,CL,Chile,CO,Coquimbo,,,CL,CHL,1
CL_LI,Q2133,,CL,Chile,LI,O'Higgins,,,CL,CHL,1
CL_LL,Q2178,,CL,Chile,LL,Los Lagos,,,CL,CHL,1
CL_LR,Q2177,,CL,Chile,LR,Los Ríos,,,CL,CHL,1
CL_MA,Q2189,,CL,Chile,MA,Magallanes,,,CL,CHL,1
CL_ML,Q2166,,CL,Chile,ML,Maule,,,CL,CHL,1
CL_NB,Q24076693,,CL,Chile,NB,Ñuble,,,CL,CHL,1
CL_RM,Q2131,,CL,Chile,RM,Santiago Metropolitan,,,CL,CHL,1
CL_TA,Q2114,,CL,Chile,TA,Tarapacá,,,CL,CHL,1
CL_VS,Q219458,,CL,Chile,VS,Valparaíso,,,CL,CHL,1
CM,Q1009,country/CMR,CM,Cameroon,,,,,CM,CMR,0
CN,Q148,country/CHN,CN,China,,,,,CN,CHN,0
CN_AH,Q40956,,CN,China,AH,Anhui,,,CN,CHN,1
CN_BJ,Q956,,CN,China,BJ,Beijing,,,CN,CHN,1
CN_CQ,Q11725,,CN,China,CQ,Chongqing,,,CN,CHN,1
CN_FJ,Q41705,,CN,China,FJ,Fujian,,,CN,CHN,1
CN_GD,Q15175,,CN,China,GD,Guangdong,,,CN,CHN,1
CN_GS,Q42392,,CN,China,GS,Gansu,,,CN,CHN,1
CN_GX,Q15176,,CN,China,GX,Guangxi,,,CN,CHN,1
CN_GZ,Q47097,,CN,China,GZ,Guizhou,,,CN,CHN,1
CN_HA,Q43684,,CN,China,HA,Henan,,,CN,CHN,1
CN_HB,Q46862,,CN,China,HB,Hubei,,,CN,CHN,1
CN_HE,Q21208,,CN,China,HE,Hebei,,,CN,CHN,1
CN_HI,Q42200,,CN,China,HI,Hainan,,,CN,CHN,1
CN_HK,Q8646,country/HKG,CN,China,HK,Hong Kong,,,CN,CHN,1
CN_HL,Q19206,,CN,China,HL,Heilongjiang,,,CN,CHN,1
CN_HN,Q45761,,CN,China,HN,Hunan,,,CN,CHN,1
CN_JL,Q45208,,CN,China,JL,Jilin,,,CN,CHN,1
CN_JS,Q16963,,CN,China,JS,Jiangsu,,,CN,CHN,1
CN_JX,Q57052,,CN,China,JX,Jiangxi,,,CN,CHN,1
CN_LN,Q43934,,CN,China,LN,Liaoning,,,CN,CHN,1
CN_MO,Q14773,country/MAC,CN,China,MO,Macau,,,CN,CHN,1
CN_NM,Q41079,,CN,China,NM,Inner Mongolia,,,CN,CHN,1
CN_NX,Q57448,,CN,China,NX,Ningxia,,,CN,CHN,1
CN_QH,Q45833,,CN,China,QH,Qinghai,,,CN,CHN,1
CN_SC,Q19770,,CN,China,SC,Sichuan,,,CN,CHN,1
CN_SD,Q43407,,CN,China,SD,Shandong,,,CN,CHN,1
CN_SH,Q8686,,CN,China,SH,Shanghai,,,CN,CHN,1
CN_SN,Q47974,,CN,China,SN,Shaanxi,,,CN,CHN,1
CN_SX,Q46913,,CN,China,SX,Shanxi,,,CN,CHN,1
CN_TJ,Q11736,,CN,China,TJ,Tianjin,,,CN,CHN,1
CN_TW,Q57251,,CN,China,TW,Taiwan,,,CN,CHN,1
CN_XJ,Q34800,,CN,China,XJ,Xinjiang,,,CN,CHN,1
CN_XZ,Q17269,,CN,China,XZ,Tibet,,,CN,CHN,1
CN_YN,Q43194,,CN,China,YN,Yunnan,,,CN,CHN,1
CN_ZJ,Q16967,,CN,China,ZJ,Zhejiang,,,CN,CHN,1
CO,Q739,country/COL,CO,Colombia,,,,,CO,COL,0
CO_05,Q123304,,CO,Colombia,05,Antioquia,,,CO,COL,1
CO_05_05001,Q48278,,CO,Colombia,05,Antioquia,05001,Medellín,CO,COL,2
CO_05_05002,Q1441947,,CO,Colombia,05,Antioquia,05002,Abejorral,CO,COL,2
CO_05_05004,Q1655866,,CO,Colombia,05,Antioquia,05004,Abriaquí,CO,COL,2
CO_05_05021,Q1655881,,CO,Colombia,05,Antioquia,05021,Alejandría,CO,COL,2
CO_05_05030,Q1441660,,CO,Colombia,05,Antioquia,05030,Amagá,CO,COL,2
CO_05_05031,Q1441668,,CO,Colombia,05,Antioquia,05031,Amalfi,CO,COL,2
CO_05_05034,Q267585,,CO,Colombia,05,Antioquia,05034,Andes,CO,COL,2
CO_05_05036,Q1576502,,CO,Colombia,05,Antioquia,05036,Angelópolis,CO,COL,2
CO_05_05038,Q1525268,,CO,Colombia,05,Antioquia,05038,Angostura,CO,COL,2
CO_05_05040,Q1526012,,CO,Colombia,05,Antioquia,05040,Anorí,CO,COL,2
CO_05_05042,Q927703,,CO,Colombia,05,Antioquia,05042,Santa Fé De Antioquia,CO,COL,2
CO_05_05044,Q1577307,,CO,Colombia,05,Antioquia,05044,Anzá,CO,COL,2
CO_05_05045,Q1093516,,CO,Colombia,05,Antioquia,05045,Apartadó,CO,COL,2
CO_05_05051,Q2088061,,CO,Colombia,05,Antioquia,05051,Arboletes,CO,COL,2
CO_05_05055,Q2336241,,CO,Colombia,05,Antioquia,05055,Argelia,CO,COL,2
CO_05_05059,Q934767,,CO,Colombia,05,Antioquia,05059,Armenia,CO,COL,2
CO_05_05079,Q1946659,,CO,Colombia,05,Antioquia,05079,Barbosa,CO,COL,2
CO_05_05086,Q1576993,,CO,Colombia,05,Antioquia,05086,Belmira,CO,COL,2
CO_05_05088,Q816024,,CO,Colombia,05,Antioquia,05088,Bello,CO,COL,2
CO_05_05091,Q1578748,,CO,Colombia,05,Antioquia,05091,Betania,CO,COL,2
CO_05_05093,Q426415,,CO,Colombia,05,Antioquia,05093,Betulia,CO,COL,2
CO_05_05101,Q1392639,,CO,Colombia,05,Antioquia,05101,Ciudad Bolívar,CO,COL,2
CO_05_05107,Q1579007,,CO,Colombia,05,Antioquia,05107,Briceño,CO,COL,2
CO_05_05113,Q1576546,,CO,Colombia,05,Antioquia,05113,Buriticá,CO,COL,2
CO_05_05120,Q2431763,,CO,Colombia,05,Antioquia,05120,Cáceres,CO,COL,2
CO_05_05125,Q1579442,,CO,Colombia,05,Antioquia,05125,Caicedo,CO,COL,2
CO_05_05129,Q598777,,CO,Colombia,05,Antioquia,05129,Caldas,CO,COL,2
CO_05_05134,Q546011,,CO,Colombia,05,Antioquia,05134,Campamento,CO,COL,2
CO_05_05138,Q1525112,,CO,Colombia,05,Antioquia,05138,Cañasgordas,CO,COL,2
CO_05_05142,Q1655826,,CO,Colombia,05,Antioquia,05142,Caracolí,CO,COL,2
CO_05_05145,Q1655846,,CO,Colombia,05,Antioquia,05145,Caramanta,CO,COL,2
CO_05_05147,Q1946648,,CO,Colombia,05,Antioquia,05147,Carepa,CO,COL,2
CO_05_05148,Q1256664,,CO,Colombia,05,Antioquia,05148,El Carmen De Viboral,CO,COL,2
CO_05_05150,Q1655875,,CO,Colombia,05,Antioquia,05150,Carolina,CO,COL,2
CO_05_05154,Q511705,,CO,Colombia,05,Antioquia,05154,Caucasia,CO,COL,2
CO_05_05172,Q2088075,,CO,Colombia,05,Antioquia,05172,Chigorodó,CO,COL,2
CO_05_05190,Q1578727,,CO,Colombia,05,Antioquia,05190,Cisneros,CO,COL,2
CO_05_05197,Q1946669,,CO,Colombia,05,Antioquia,05197,Cocorná,CO,COL,2
CO_05_05206,Q2279494,,CO,Colombia,05,Antioquia,05206,Concepción,CO,COL,2
CO_05_05209,Q1441793,,CO,Colombia,05,Antioquia,05209,Concordia,CO,COL,2
CO_05_05212,Q285891,,CO,Colombia,05,Antioquia,05212,Copacabana,CO,COL,2
CO_05_05234,Q1441773,,CO,Colombia,05,Antioquia,05234,Dabeiba,CO,COL,2
CO_05_05237,Q1525993,,CO,Colombia,05,Antioquia,05237,Donmatías,CO,COL,2
CO_05_05240,Q1525223,,CO,Colombia,05,Antioquia,05240,Ebéjico,CO,COL,2
CO_05_05250,Q1014722,,CO,Colombia,05,Antioquia,05250,El Bagre,CO,COL,2
CO_05_05264,Q1575512,,CO,Colombia,05,Antioquia,05264,Entrerríos,CO,COL,2
CO_05_05266,Q1447266,,CO,Colombia,05,Antioquia,05266,Envigado,CO,COL,2
CO_05_05282,Q1442002,,CO,Colombia,05,Antioquia,05282,Fredonia,CO,COL,2
CO_05_05284,Q636963,,CO,Colombia,05,Antioquia,05284,Frontino,CO,COL,2
CO_05_05306,Q1655837,,CO,Colombia,05,Antioquia,05306,Giraldo,CO,COL,2
CO_05_05308,Q774725,,CO,Colombia,05,Antioquia,05308,Girardota,CO,COL,2
CO_05_05310,Q1576474,,CO,Colombia,05,Antioquia,05310,Gómez Plata,CO,COL,2
CO_05_05313,Q1578735,,CO,Colombia,05,Antioquia,05313,Granada,CO,COL,2
CO_05_05315,Q2315211,,CO,Colombia,05,Antioquia,05315,Guadalupe,CO,COL,2
CO_05_05318,Q2088069,,CO,Colombia,05,Antioquia,05318,Guarne,CO,COL,2
CO_05_05321,Q1578769,,CO,Colombia,05,Antioquia,05321,Guatapé,CO,COL,2
CO_05_05347,Q1576041,,CO,Colombia,05,Antioquia,05347,Heliconia,CO,COL,2
CO_05_05353,Q1654573,,CO,Colombia,05,Antioquia,05353,Hispania,CO,COL,2
CO_05_05360,Q1527934,,CO,Colombia,05,Antioquia,05360,Itagüí,CO,COL,2
CO_05_05361,Q1441937,,CO,Colombia,05,Antioquia,05361,Ituango,CO,COL,2
CO_05_05364,Q1525138,,CO,Colombia,05,Antioquia,05364,Jardín,CO,COL,2
CO_05_05368,Q1525982,,CO,Colombia,05,Antioquia,05368,Jericó,CO,COL,2
CO_05_05376,Q1946679,,CO,Colombia,05,Antioquia,05376,La Ceja,CO,COL,2
CO_05_05380,Q932102,,CO,Colombia,05,Antioquia,05380,La Estrella,CO,COL,2
CO_05_05390,Q1576562,,CO,Colombia,05,Antioquia,05390,La Pintada,CO,COL,2
CO_05_05400,Q2143798,,CO,Colombia,05,Antioquia,05400,La Unión,CO,COL,2
CO_05_05411,Q1576529,,CO,Colombia,05,Antioquia,05411,Liborina,CO,COL,2
CO_05_05425,Q1576486,,CO,Colombia,05,Antioquia,05425,Maceo,CO,COL,2
CO_05_05440,Q2088084,,CO,Colombia,05,Antioquia,05440,Marinilla,CO,COL,2
CO_05_05467,Q1577236,,CO,Colombia,05,Antioquia,05467,Montebello,CO,COL,2
CO_05_05475,Q1655857,,CO,Colombia,05,Antioquia,05475,Murindó,CO,COL,2
CO_05_05480,Q1525997,,CO,Colombia,05,Antioquia,05480,Mutatá,CO,COL,2
CO_05_05483,Q590382,,CO,Colombia,05,Antioquia,05483,Nariño,CO,COL,2
CO_05_05490,Q976938,,CO,Colombia,05,Antioquia,05490,Necoclí,CO,COL,2
CO_05_05495,Q1441743,,CO,Colombia,05,Antioquia,05495,Nechí,CO,COL,2
CO_05_05501,Q1656222,,CO,Colombia,05,Antioquia,05501,Olaya,CO,COL,2
CO_05_05541,Q1525273,,CO,Colombia,05,Antioquia,05541,Peñol,CO,COL,2
CO_05_05543,Q1577164,,CO,Colombia,05,Antioquia,05543,Peque,CO,COL,2
CO_05_05576,Q1576028,,CO,Colombia,05,Antioquia,05576,Pueblorrico,CO,COL,2
CO_05_05579,Q1946640,,CO,Colombia,05,Antioquia,05579,Puerto Berrío,CO,COL,2
CO_05_05585,Q1526008,,CO,Colombia,05,Antioquia,05585,Puerto Nare,CO,COL,2
CO_05_05591,Q932785,,CO,Colombia,05,Antioquia,05591,Puerto Triunfo,CO,COL,2
CO_05_05604,Q1441733,,CO,Colombia,05,Antioquia,05604,Remedios,CO,COL,2
CO_05_05607,Q1525690,,CO,Colombia,05,Antioquia,05607,Retiro,CO,COL,2
CO_05_05615,Q1774644,,CO,Colombia,05,Antioquia,05615,Rionegro,CO,COL,2
CO_05_05628,Q589862,,CO,Colombia,05,Antioquia,05628,Sabanalarga,CO,COL,2
CO_05_05631,Q1770717,,CO,Colombia,05,Antioquia,05631,Sabaneta,CO,COL,2
CO_05_05642,Q1525126,,CO,Colombia,05,Antioquia,05642,Salgar,CO,COL,2
CO_05_05647,Q2433819,,CO,Colombia,05,Antioquia,05647,San Andrés De Cuerquía,CO,COL,2
CO_05_05649,Q2433839,,CO,Colombia,05,Antioquia,05649,San Carlos,CO,COL,2
CO_05_05652,Q975641,,CO,Colombia,05,Antioquia,05652,San Francisco,CO,COL,2
CO_05_05656,Q1526016,,CO,Colombia,05,Antioquia,05656,San Jerónimo,CO,COL,2
CO_05_05658,Q1655028,,CO,Colombia,05,Antioquia,05658,San José De La Montaña,CO,COL,2
CO_05_05659,Q1441760,,CO,Colombia,05,Antioquia,05659,San Juan De Urabá,CO,COL,2
CO_05_05660,Q2057762,,CO,Colombia,05,Antioquia,05660,San Luis,CO,COL,2
CO_05_05664,Q1441754,,CO,Colombia,05,Antioquia,05664,San Pedro De Los Milagros,CO,COL,2
CO_05_05665,Q1391914,,CO,Colombia,05,Antioquia,05665,San Pedro De Urabá,CO,COL,2
CO_05_05667,Q1526004,,CO,Colombia,05,Antioquia,05667,San Rafael,CO,COL,2
CO_05_05670,Q1525767,,CO,Colombia,05,Antioquia,05670,San Roque,CO,COL,2
CO_05_05674,Q1525987,,CO,Colombia,05,Antioquia,05674,San Vicente Ferrer,CO,COL,2
CO_05_05679,Q1441781,,CO,Colombia,05,Antioquia,05679,Santa Bárbara,CO,COL,2
CO_05_05686,Q2088093,,CO,Colombia,05,Antioquia,05686,Santa Rosa De Osos,CO,COL,2
CO_05_05690,Q1578783,,CO,Colombia,05,Antioquia,05690,Santo Domingo,CO,COL,2
CO_05_05697,Q1440830,,CO,Colombia,05,Antioquia,05697,El Santuario,CO,COL,2
CO_05_05736,Q2274555,,CO,Colombia,05,Antioquia,05736,Segovia,CO,COL,2
CO_05_05756,Q649293,,CO,Colombia,05,Antioquia,05756,Sonsón,CO,COL,2
CO_05_05761,Q1525131,,CO,Colombia,05,Antioquia,05761,Sopetrán,CO,COL,2
CO_05_05789,Q1526001,,CO,Colombia,05,Antioquia,05789,Támesis,CO,COL,2
CO_05_05790,Q2075499,,CO,Colombia,05,Antioquia,05790,Tarazá,CO,COL,2
CO_05_05792,Q1578758,,CO,Colombia,05,Antioquia,05792,Tarso,CO,COL,2
