date,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-02-21,2,0,11,0,AE
2020-02-22,2,0,13,0,AE
2020-02-23,0,0,13,0,AE
2020-02-24,0,0,13,0,AE
2020-02-25,0,0,13,0,AE
2020-02-26,0,0,13,0,AE
2020-02-27,6,0,19,0,AE
2020-02-28,0,0,19,0,AE
2020-02-29,2,0,21,0,AE
2020-03-01,0,0,21,0,AE
2020-03-03,6,0,27,0,AE
2020-03-05,2,0,29,0,AE
2020-03-07,16,0,45,0,AE
2020-03-09,14,0,59,0,AE
2020-03-10,15,0,74,0,AE
2020-03-12,11,0,85,0,AE
2020-03-14,0,0,85,0,AE
2020-03-15,1,0,86,0,AE
2020-03-16,12,0,98,0,AE
2020-03-17,15,0,113,0,AE
2020-03-18,0,0,113,0,AE
2020-03-19,27,0,140,0,AE
2020-03-20,0,0,140,0,AE
2020-03-21,13,2,153,2,AE
2020-03-22,0,0,153,2,AE
2020-03-23,45,0,198,2,AE
2020-03-24,50,0,248,2,AE
2020-03-25,85,0,333,2,AE
2020-03-26,0,0,333,2,AE
2020-03-27,72,0,405,2,AE
2020-03-28,63,0,468,2,AE
2020-03-29,0,0,468,2,AE
2020-03-30,143,3,611,5,AE
2020-03-31,53,1,664,6,AE
2020-04-01,0,0,664,6,AE
2020-04-02,360,2,1024,8,AE
2020-04-03,0,0,1024,8,AE
2020-04-04,481,2,1505,10,AE
2020-04-05,294,0,1799,10,AE
2020-04-06,277,1,2076,11,AE
2020-04-07,283,1,2359,12,AE
2020-04-08,300,0,2659,12,AE
2020-04-09,331,2,2990,14,AE
2020-04-10,370,2,3360,16,AE
2020-04-11,376,4,3736,20,AE
2020-04-12,387,2,4123,22,AE
2020-04-13,398,3,4521,25,AE
2020-04-14,412,3,4933,28,AE
2020-04-15,432,5,5365,33,AE
2020-04-16,460,0,5825,33,AE
2020-04-17,0,2,5825,35,AE
2020-04-18,477,2,6302,37,AE
2020-04-19,479,4,6781,41,AE
2020-04-20,484,2,7265,43,AE
2020-04-21,490,3,7755,46,AE
2020-04-22,483,6,8238,52,AE
2020-04-23,518,4,8756,56,AE
2020-04-24,525,8,9281,64,AE
2020-04-25,532,0,9813,64,AE
2020-04-26,536,12,10349,76,AE
2020-04-27,490,6,10839,82,AE
2020-04-28,541,7,11380,89,AE
2020-04-29,549,9,11929,98,AE
2020-04-30,552,7,12481,105,AE
2020-05-01,557,6,13038,111,AE
2020-05-02,561,8,13599,119,AE
2020-05-03,564,7,14163,126,AE
2020-05-04,567,11,14730,137,AE
2020-05-05,462,9,15192,146,AE
2020-05-06,546,11,15738,157,AE
2020-05-07,502,8,16240,165,AE
2020-05-08,553,9,16793,174,AE
2020-05-09,624,11,17417,185,AE
2020-05-10,781,13,18198,198,AE
2020-05-11,680,3,18878,201,AE
2020-05-12,783,2,19661,203,AE
2020-05-13,725,3,20386,206,AE
2020-05-14,698,2,21084,208,AE
2020-05-15,747,2,21831,210,AE
2020-05-16,796,4,22627,214,AE
2020-05-17,731,6,23358,220,AE
2020-05-18,832,4,24190,224,AE
2020-05-19,873,3,25063,227,AE
2020-05-20,941,6,26004,233,AE
2020-05-21,894,4,26898,237,AE
2020-05-22,994,4,27892,241,AE
2020-05-23,812,3,28704,244,AE
2020-05-24,781,1,29485,245,AE
2020-05-25,822,3,30307,248,AE
2020-05-26,779,5,31086,253,AE
2020-05-27,883,2,31969,255,AE
2020-05-28,563,3,32532,258,AE
2020-05-29,638,2,33170,260,AE
2020-05-30,726,2,33896,262,AE
2020-05-31,661,2,34557,264,AE
2020-06-01,635,2,35192,266,AE
2020-06-02,596,3,35788,269,AE
2020-06-03,571,1,36359,270,AE
2020-06-04,659,3,37018,273,AE
2020-06-05,624,1,37642,274,AE
2020-06-06,626,1,38268,275,AE
2020-06-07,540,1,38808,276,AE
2020-06-08,568,5,39376,281,AE
2020-06-09,528,2,39904,283,AE
2020-06-10,603,1,40507,284,AE
2020-06-11,479,2,40986,286,AE
2020-06-12,513,1,41499,287,AE
2020-06-13,401,1,41900,288,AE
2020-06-14,394,1,42294,289,AE
2020-06-15,342,2,42636,291,AE
2020-06-16,346,2,42982,293,AE
2020-06-17,382,2,43364,295,AE
2020-06-18,388,3,43752,298,AE
2020-06-19,393,2,44145,300,AE
2020-06-20,388,1,44533,301,AE
2020-06-21,392,1,44925,302,AE
2020-06-22,378,1,45303,303,AE
2020-06-23,380,2,45683,305,AE
2020-06-24,450,2,46133,307,AE
2020-06-25,430,1,46563,308,AE
2020-06-26,410,2,46973,310,AE
2019-12-30,0,0,0,0,AF
2019-12-31,0,0,0,0,AF
2020-01-01,0,0,0,0,AF
2020-01-02,0,0,0,0,AF
2020-01-03,0,0,0,0,AF
2020-01-04,0,0,0,0,AF
2020-01-05,0,0,0,0,AF
2020-01-06,0,0,0,0,AF
2020-01-07,0,0,0,0,AF
2020-01-08,0,0,0,0,AF
2020-01-09,0,0,0,0,AF
2020-01-10,0,0,0,0,AF
2020-01-11,0,0,0,0,AF
2020-01-12,0,0,0,0,AF
2020-01-13,0,0,0,0,AF
2020-01-14,0,0,0,0,AF
2020-01-15,0,0,0,0,AF
2020-01-16,0,0,0,0,AF
2020-01-17,0,0,0,0,AF
2020-01-18,0,0,0,0,AF
2020-01-19,0,0,0,0,AF
2020-01-20,0,0,0,0,AF
2020-01-21,0,0,0,0,AF
2020-01-22,0,0,0,0,AF
2020-01-23,0,0,0,0,AF
2020-01-24,0,0,0,0,AF
2020-01-25,0,0,0,0,AF
2020-01-26,0,0,0,0,AF
2020-01-27,0,0,0,0,AF
2020-01-28,0,0,0,0,AF
2020-01-29,0,0,0,0,AF
2020-01-30,0,0,0,0,AF
2020-01-31,0,0,0,0,AF
2020-02-01,0,0,0,0,AF
2020-02-02,0,0,0,0,AF
2020-02-03,0,0,0,0,AF
2020-02-04,0,0,0,0,AF
2020-02-05,0,0,0,0,AF
2020-02-06,0,0,0,0,AF
2020-02-07,0,0,0,0,AF
2020-02-08,0,0,0,0,AF
2020-02-09,0,0,0,0,AF
2020-02-10,0,0,0,0,AF
2020-02-11,0,0,0,0,AF
2020-02-12,0,0,0,0,AF
2020-02-13,0,0,0,0,AF
2020-02-14,0,0,0,0,AF
2020-02-15,0,0,0,0,AF
2020-02-16,0,0,0,0,AF
2020-02-17,0,0,0,0,AF
2020-02-18,0,0,0,0,AF
2020-02-19,0,0,0,0,AF
2020-02-20,0,0,0,0,AF
2020-02-21,0,0,0,0,AF
2020-02-22,0,0,0,0,AF
2020-02-23,0,0,0,0,AF
2020-02-24,1,0,1,0,AF
2020-02-25,0,0,1,0,AF
2020-02-26,0,0,1,0,AF
2020-02-27,0,0,1,0,AF
2020-02-28,0,0,1,0,AF
2020-02-29,0,0,1,0,AF
2020-03-01,0,0,1,0,AF
2020-03-07,3,0,4,0,AF
2020-03-10,3,0,7,0,AF
2020-03-14,3,0,10,0,AF
2020-03-15,6,0,16,0,AF
2020-03-16,5,0,21,0,AF
2020-03-17,1,0,22,0,AF
2020-03-18,0,0,22,0,AF
2020-03-19,0,0,22,0,AF
2020-03-20,2,0,24,0,AF
2020-03-21,0,0,24,0,AF
2020-03-22,10,0,34,0,AF
2020-03-23,6,1,40,1,AF
2020-03-24,2,0,42,1,AF
2020-03-25,33,0,75,1,AF
2020-03-26,0,0,75,1,AF
2020-03-27,16,1,91,2,AF
2020-03-28,15,1,106,3,AF
2020-03-29,8,1,114,4,AF
2020-03-30,27,0,141,4,AF
2020-03-31,25,0,166,4,AF
2020-04-01,26,0,192,4,AF
2020-04-02,43,0,235,4,AF
2020-04-03,0,0,235,4,AF
2020-04-04,35,1,270,5,AF
2020-04-05,29,2,299,7,AF
2020-04-06,38,0,337,7,AF
2020-04-07,30,4,367,11,AF
2020-04-08,56,3,423,14,AF
2020-04-09,61,1,484,15,AF
2020-04-10,37,0,521,15,AF
2020-04-11,34,3,555,18,AF
2020-04-12,52,0,607,18,AF
2020-04-13,58,3,665,21,AF
2020-04-14,49,2,714,23,AF
2020-04-15,70,2,784,25,AF
2020-04-16,10,4,794,29,AF
2020-04-17,51,1,845,30,AF
2020-04-18,63,0,908,30,AF
2020-04-19,88,3,996,33,AF
2020-04-20,35,2,1031,35,AF
2020-04-21,61,1,1092,36,AF
2020-04-22,84,4,1176,40,AF
2020-04-23,105,2,1281,42,AF
2020-04-24,70,1,1351,43,AF
2020-04-25,112,4,1463,47,AF
2020-04-26,68,10,1531,57,AF
2020-04-27,172,0,1703,57,AF
2020-04-28,124,3,1827,60,AF
2020-04-29,122,0,1949,60,AF
2020-04-30,222,4,2171,64,AF
2020-05-01,164,4,2335,68,AF
2020-05-02,134,4,2469,72,AF
2020-05-03,235,13,2704,85,AF
2020-05-04,190,5,2894,90,AF
2020-05-05,330,5,3224,95,AF
2020-05-06,168,9,3392,104,AF
2020-05-07,171,2,3563,106,AF
2020-05-08,215,3,3778,109,AF
2020-05-09,255,6,4033,115,AF
2020-05-10,369,5,4402,120,AF
2020-05-11,285,2,4687,122,AF
2020-05-12,280,5,4967,127,AF
2020-05-13,259,3,5226,130,AF
2020-05-14,113,6,5339,136,AF
2020-05-15,1063,32,6402,168,AF
2020-05-16,0,0,6402,168,AF
2020-05-17,262,1,6664,169,AF
2020-05-18,408,4,7072,173,AF
2020-05-19,581,5,7653,178,AF
2020-05-20,492,9,8145,187,AF
2020-05-21,531,6,8676,193,AF
2020-05-22,540,12,9216,205,AF
2020-05-23,782,11,9998,216,AF
2020-05-24,584,2,10582,218,AF
2020-05-25,591,1,11173,219,AF
2020-05-26,658,1,11831,220,AF
2020-05-27,625,7,12456,227,AF
2020-05-28,580,8,13036,235,AF
2020-05-29,623,11,13659,246,AF
2020-05-30,866,3,14525,249,AF
2020-05-31,680,8,15205,257,AF
2020-06-01,545,8,15750,265,AF
2020-06-02,759,5,16509,270,AF
2020-06-03,758,24,17267,294,AF
2020-06-04,787,6,18054,300,AF
2020-06-05,915,9,18969,309,AF
2020-06-06,582,18,19551,327,AF
2020-06-07,791,30,20342,357,AF
2020-06-08,575,12,20917,369,AF
2020-06-09,542,15,21459,384,AF
2020-06-10,684,21,22143,405,AF
2020-06-11,747,21,22890,426,AF
2020-06-12,656,20,23546,446,AF
2020-06-13,556,5,24102,451,AF
2020-06-14,664,20,24766,471,AF
2020-06-15,761,7,25527,478,AF
2020-06-16,783,13,26310,491,AF
2020-06-17,564,13,26874,504,AF
2020-06-18,658,42,27532,546,AF
2020-06-19,346,2,27878,548,AF
2020-06-20,546,21,28424,569,AF
2020-06-21,409,12,28833,581,AF
2020-06-22,310,17,29143,598,AF
2020-06-23,338,20,29481,618,AF
2020-06-24,234,21,29715,639,AF
2020-06-25,460,36,30175,675,AF
2020-06-26,276,8,30451,683,AF
2020-03-14,1,0,1,0,AG
2020-03-20,0,0,1,0,AG
2020-03-21,0,0,1,0,AG
2020-03-22,0,0,1,0,AG
2020-03-23,0,0,1,0,AG
2020-03-24,2,0,3,0,AG
2020-03-25,0,0,3,0,AG
2020-03-26,4,0,7,0,AG
2020-03-27,0,0,7,0,AG
2020-03-28,0,0,7,0,AG
2020-03-29,0,0,7,0,AG
2020-03-30,0,0,7,0,AG
2020-03-31,0,0,7,0,AG
2020-04-01,0,0,7,0,AG
2020-04-02,2,0,9,0,AG
2020-04-03,6,0,15,0,AG
2020-04-04,0,0,15,0,AG
2020-04-05,0,0,15,0,AG
2020-04-06,0,0,15,0,AG
2020-04-07,0,0,15,0,AG
2020-04-08,0,0,15,0,AG
2020-04-09,4,2,19,2,AG
2020-04-10,2,0,21,2,AG
2020-04-11,0,0,21,2,AG
2020-04-12,0,0,21,2,AG
2020-04-13,2,0,23,2,AG
2020-04-14,0,0,23,2,AG
2020-04-15,0,0,23,2,AG
2020-04-16,0,0,23,2,AG
2020-04-17,0,0,23,2,AG
2020-04-18,0,0,23,2,AG
2020-04-19,0,0,23,2,AG
2020-04-20,0,1,23,3,AG
2020-04-21,1,0,24,3,AG
2020-04-22,0,0,24,3,AG
2020-04-23,0,0,24,3,AG
2020-04-24,0,0,24,3,AG
2020-04-25,0,0,24,3,AG
2020-04-26,0,0,24,3,AG
2020-04-27,0,0,24,3,AG
2020-04-28,0,0,24,3,AG
2020-04-29,0,0,24,3,AG
2020-04-30,0,0,24,3,AG
2020-05-01,1,0,25,3,AG
2020-05-02,0,0,25,3,AG
2020-05-03,0,0,25,3,AG
2020-05-04,0,0,25,3,AG
2020-05-05,0,0,25,3,AG
2020-05-06,0,0,25,3,AG
2020-05-07,0,0,25,3,AG
2020-05-08,0,0,25,3,AG
2020-05-09,0,0,25,3,AG
2020-05-10,0,0,25,3,AG
2020-05-11,0,0,25,3,AG
2020-05-12,0,0,25,3,AG
2020-05-13,0,0,25,3,AG
2020-05-14,0,0,25,3,AG
2020-05-15,0,0,25,3,AG
2020-05-16,0,0,25,3,AG
2020-05-17,0,0,25,3,AG
2020-05-18,0,0,25,3,AG
2020-05-19,0,0,25,3,AG
2020-05-20,0,0,25,3,AG
2020-05-21,0,0,25,3,AG
2020-05-22,0,0,25,3,AG
2020-05-23,0,0,25,3,AG
2020-05-24,0,0,25,3,AG
2020-05-25,0,0,25,3,AG
2020-05-26,0,0,25,3,AG
2020-05-27,0,0,25,3,AG
2020-05-28,0,0,25,3,AG
2020-05-29,0,0,25,3,AG
2020-05-30,0,0,25,3,AG
2020-05-31,0,0,25,3,AG
2020-06-01,0,0,25,3,AG
2020-06-02,0,0,25,3,AG
2020-06-03,1,0,26,3,AG
2020-06-04,0,0,26,3,AG
2020-06-05,0,0,26,3,AG
2020-06-06,0,0,26,3,AG
2020-06-07,0,0,26,3,AG
2020-06-08,0,0,26,3,AG
2020-06-09,0,0,26,3,AG
2020-06-10,0,0,26,3,AG
2020-06-11,0,0,26,3,AG
2020-06-12,0,0,26,3,AG
2020-06-13,0,0,26,3,AG
2020-06-14,0,0,26,3,AG
2020-06-15,0,0,26,3,AG
2020-06-16,0,0,26,3,AG
2020-06-17,0,0,26,3,AG
2020-06-18,0,0,26,3,AG
2020-06-19,0,0,26,3,AG
2020-06-20,0,0,26,3,AG
2020-06-21,0,0,26,3,AG
2020-06-22,0,0,26,3,AG
2020-06-23,0,0,26,3,AG
2020-06-24,39,0,65,3,AG
2020-06-25,0,0,65,3,AG
2020-06-26,0,0,65,3,AG
2020-03-26,2,0,2,0,AI
2020-03-27,0,0,2,0,AI
2020-03-28,0,0,2,0,AI
2020-03-29,0,0,2,0,AI
2020-03-30,0,0,2,0,AI
2020-03-31,0,0,2,0,AI
2020-04-01,0,0,2,0,AI
2020-04-02,1,0,3,0,AI
2020-04-03,0,0,3,0,AI
2020-04-04,0,0,3,0,AI
2020-04-05,0,0,3,0,AI
2020-04-06,0,0,3,0,AI
2020-04-07,0,0,3,0,AI
2020-04-08,0,0,3,0,AI
2020-04-09,0,0,3,0,AI
2020-04-10,0,0,3,0,AI
2020-04-11,0,0,3,0,AI
2020-04-12,0,0,3,0,AI
2020-04-13,0,0,3,0,AI
2020-04-14,0,0,3,0,AI
2020-04-15,0,0,3,0,AI
2020-04-16,0,0,3,0,AI
2020-04-17,0,0,3,0,AI
2020-04-18,0,0,3,0,AI
2020-04-19,0,0,3,0,AI
2020-04-20,0,0,3,0,AI
2020-04-21,0,0,3,0,AI
2020-04-22,0,0,3,0,AI
2020-04-23,0,0,3,0,AI
2020-04-24,0,0,3,0,AI
2020-04-25,0,0,3,0,AI
2020-04-26,0,0,3,0,AI
2020-04-27,0,0,3,0,AI
2020-04-28,0,0,3,0,AI
2020-04-29,0,0,3,0,AI
2020-04-30,0,0,3,0,AI
2020-05-01,0,0,3,0,AI
2020-05-02,0,0,3,0,AI
2020-05-03,0,0,3,0,AI
2020-05-04,0,0,3,0,AI
2020-05-05,0,0,3,0,AI
2020-05-06,0,0,3,0,AI
2020-05-07,0,0,3,0,AI
2020-05-08,0,0,3,0,AI
2020-05-09,0,0,3,0,AI
2020-05-10,0,0,3,0,AI
2020-05-11,0,0,3,0,AI
2020-05-12,0,0,3,0,AI
2020-05-13,0,0,3,0,AI
2020-05-14,0,0,3,0,AI
2020-05-15,0,0,3,0,AI
2020-05-16,0,0,3,0,AI
2020-05-17,0,0,3,0,AI
2020-05-18,0,0,3,0,AI
2020-05-19,0,0,3,0,AI
2020-05-20,0,0,3,0,AI
2020-05-21,0,0,3,0,AI
2020-05-22,0,0,3,0,AI
2020-05-23,0,0,3,0,AI
2020-05-24,0,0,3,0,AI
2020-05-25,0,0,3,0,AI
2020-05-26,0,0,3,0,AI
2020-05-27,0,0,3,0,AI
2020-05-28,0,0,3,0,AI
2020-05-29,0,0,3,0,AI
2020-05-30,0,0,3,0,AI
2020-05-31,0,0,3,0,AI
2020-06-01,0,0,3,0,AI
2020-06-02,0,0,3,0,AI
2020-06-03,0,0,3,0,AI
2020-06-04,0,0,3,0,AI
2020-06-05,0,0,3,0,AI
2020-06-06,0,0,3,0,AI
2020-06-07,0,0,3,0,AI
2020-06-08,0,0,3,0,AI
2020-06-09,0,0,3,0,AI
2020-06-10,0,0,3,0,AI
2020-06-11,0,0,3,0,AI
2020-06-12,0,0,3,0,AI
2020-06-13,0,0,3,0,AI
2020-06-14,0,0,3,0,AI
2020-06-15,0,0,3,0,AI
2020-06-16,0,0,3,0,AI
2020-06-17,0,0,3,0,AI
2020-06-18,0,0,3,0,AI
2020-06-19,0,0,3,0,AI
2020-06-20,0,0,3,0,AI
2020-06-21,0,0,3,0,AI
2020-06-22,0,0,3,0,AI
2020-06-23,0,0,3,0,AI
2020-06-24,0,0,3,0,AI
2020-06-25,0,0,3,0,AI
2020-06-26,0,0,3,0,AI
2020-03-08,2,0,2,0,AL
2020-03-09,4,0,6,0,AL
2020-03-10,4,0,10,0,AL
2020-03-11,1,1,11,1,AL
2020-03-12,12,0,23,1,AL
2020-03-13,10,0,33,1,AL
2020-03-14,5,0,38,1,AL
2020-03-15,4,0,42,1,AL
2020-03-16,9,0,51,1,AL
2020-03-17,4,0,55,1,AL
2020-03-18,4,1,59,2,AL
2020-03-19,11,0,70,2,AL
2020-03-20,0,0,70,2,AL
2020-03-21,6,0,76,2,AL
2020-03-22,13,0,89,2,AL
2020-03-23,11,2,100,4,AL
2020-03-24,23,1,123,5,AL
2020-03-25,23,0,146,5,AL
2020-03-26,28,1,174,6,AL
2020-03-27,12,3,186,9,AL
2020-03-28,11,1,197,10,AL
2020-03-29,15,0,212,10,AL
2020-03-30,11,2,223,12,AL
2020-03-31,20,3,243,15,AL
2020-04-01,16,0,259,15,AL
2020-04-02,18,1,277,16,AL
2020-04-03,27,1,304,17,AL
2020-04-04,29,2,333,19,AL
2020-04-05,28,2,361,21,AL
2020-04-06,16,1,377,22,AL
2020-04-07,6,0,383,22,AL
2020-04-08,17,0,400,22,AL
2020-04-09,9,1,409,23,AL
2020-04-10,7,0,416,23,AL
2020-04-11,17,0,433,23,AL
2020-04-12,13,0,446,23,AL
2020-04-13,21,0,467,23,AL
2020-04-14,8,1,475,24,AL
2020-04-15,19,1,494,25,AL
2020-04-16,24,1,518,26,AL
2020-04-17,21,0,539,26,AL
2020-04-18,9,0,548,26,AL
2020-04-19,14,0,562,26,AL
2020-04-20,22,0,584,26,AL
2020-04-21,25,0,609,26,AL
2020-04-22,25,1,634,27,AL
2020-04-23,29,0,663,27,AL
2020-04-24,15,0,678,27,AL
2020-04-25,34,0,712,27,AL
2020-04-26,14,1,726,28,AL
2020-04-27,10,0,736,28,AL
2020-04-28,14,2,750,30,AL
2020-04-29,16,1,766,31,AL
2020-04-30,7,0,773,31,AL
2020-05-01,9,0,782,31,AL
2020-05-02,7,0,789,31,AL
2020-05-03,6,0,795,31,AL
2020-05-04,8,0,803,31,AL
2020-05-05,17,0,820,31,AL
2020-05-06,12,0,832,31,AL
2020-05-07,10,0,842,31,AL
2020-05-08,8,0,850,31,AL
2020-05-09,6,0,856,31,AL
2020-05-10,12,0,868,31,AL
2020-05-11,4,0,872,31,AL
2020-05-12,4,0,876,31,AL
2020-05-13,4,0,880,31,AL
2020-05-14,18,0,898,31,AL
2020-05-15,18,0,916,31,AL
2020-05-16,17,0,933,31,AL
2020-05-17,13,0,946,31,AL
2020-05-18,2,0,948,31,AL
2020-05-19,1,0,949,31,AL
2020-05-20,15,0,964,31,AL
2020-05-21,5,0,969,31,AL
2020-05-22,12,0,981,31,AL
2020-05-23,8,0,989,31,AL
2020-05-24,9,1,998,32,AL
2020-05-25,6,0,1004,32,AL
2020-05-26,25,1,1029,33,AL
2020-05-27,21,0,1050,33,AL
2020-05-28,26,0,1076,33,AL
2020-05-29,23,0,1099,33,AL
2020-05-30,23,0,1122,33,AL
2020-05-31,15,0,1137,33,AL
2020-06-01,6,0,1143,33,AL
2020-06-02,21,0,1164,33,AL
2020-06-03,20,0,1184,33,AL
2020-06-04,13,0,1197,33,AL
2020-06-05,15,0,1212,33,AL
2020-06-06,20,1,1232,34,AL
2020-06-07,14,0,1246,34,AL
2020-06-08,17,0,1263,34,AL
2020-06-09,36,0,1299,34,AL
2020-06-10,42,0,1341,34,AL
2020-06-11,44,1,1385,35,AL
2020-06-12,31,1,1416,36,AL
2020-06-13,48,0,1464,36,AL
2020-06-14,57,0,1521,36,AL
2020-06-15,69,0,1590,36,AL
2020-06-16,82,1,1672,37,AL
2020-06-17,50,1,1722,38,AL
2020-06-18,66,1,1788,39,AL
2020-06-19,50,3,1838,42,AL
2020-06-20,53,1,1891,43,AL
2020-06-21,36,1,1927,44,AL
2020-06-22,68,0,1995,44,AL
2020-06-23,52,1,2047,45,AL
2020-06-24,67,2,2114,47,AL
2020-06-25,78,2,2192,49,AL
2020-06-26,77,2,2269,51,AL
2019-12-30,0,0,0,0,AM
2019-12-31,0,0,0,0,AM
2020-01-01,0,0,0,0,AM
2020-01-02,0,0,0,0,AM
2020-01-03,0,0,0,0,AM
2020-01-04,0,0,0,0,AM
2020-01-05,0,0,0,0,AM
2020-01-06,0,0,0,0,AM
2020-01-07,0,0,0,0,AM
2020-01-08,0,0,0,0,AM
