date,total_confirmed,total_deceased,new_confirmed,new_deceased,key
2020-06-13,24601,773,891,4,US_AL
2020-06-14,25615,773,1014,0,US_AL
2020-06-15,26272,774,657,1,US_AL
2020-06-16,26912,785,640,11,US_AL
2020-06-17,27312,790,400,5,US_AL
2020-06-18,28206,810,894,20,US_AL
2020-06-19,29002,822,796,12,US_AL
2020-06-20,29549,838,547,16,US_AL
2020-06-21,30021,839,472,1,US_AL
2020-06-22,30454,841,433,2,US_AL
2020-06-23,31097,864,643,23,US_AL
2020-06-24,32064,891,967,27,US_AL
2020-06-25,33206,896,1142,5,US_AL
2020-06-26,34183,907,977,11,US_AL
2020-03-11,1,0,,,US_AR
2020-03-12,6,0,5,0,US_AR
2020-03-13,7,0,1,0,US_AR
2020-03-14,9,0,2,0,US_AR
2020-03-15,16,0,7,0,US_AR
2020-03-16,22,0,6,0,US_AR
2020-03-17,22,0,0,0,US_AR
2020-03-18,33,0,11,0,US_AR
2020-03-19,62,0,29,0,US_AR
2020-03-20,100,0,38,0,US_AR
2020-03-21,118,0,18,0,US_AR
2020-03-22,165,0,47,0,US_AR
2020-03-23,201,0,36,0,US_AR
2020-03-24,231,2,30,2,US_AR
2020-03-25,307,2,76,0,US_AR
2020-03-26,350,3,43,1,US_AR
2020-03-27,385,3,35,0,US_AR
2020-03-28,409,5,24,2,US_AR
2020-03-29,449,6,40,1,US_AR
2020-03-30,508,7,59,1,US_AR
2020-03-31,564,8,56,1,US_AR
2020-04-01,624,10,60,2,US_AR
2020-04-02,683,12,59,2,US_AR
2020-04-03,738,12,55,0,US_AR
2020-04-04,743,14,5,2,US_AR
2020-04-05,853,16,110,2,US_AR
2020-04-06,927,16,74,0,US_AR
2020-04-07,997,18,70,2,US_AR
2020-04-08,1077,18,80,0,US_AR
2020-04-09,1146,21,69,3,US_AR
2020-04-10,1202,24,56,3,US_AR
2020-04-11,1228,25,26,1,US_AR
2020-04-12,1280,27,52,2,US_AR
2020-04-13,1475,30,195,3,US_AR
2020-04-14,1498,32,23,2,US_AR
2020-04-15,1599,34,101,2,US_AR
2020-04-16,1620,37,21,3,US_AR
2020-04-17,1695,37,75,0,US_AR
2020-04-18,1777,38,82,1,US_AR
2020-04-19,1781,39,4,1,US_AR
2020-04-20,1971,42,190,3,US_AR
2020-04-21,2262,43,291,1,US_AR
2020-04-22,2392,44,130,1,US_AR
2020-04-23,2599,45,207,1,US_AR
2020-04-24,2810,47,211,2,US_AR
2020-04-25,2909,48,99,1,US_AR
2020-04-26,3001,50,92,2,US_AR
2020-04-27,3069,51,68,1,US_AR
2020-04-28,3127,57,58,6,US_AR
2020-04-29,3207,59,80,2,US_AR
2020-04-30,3281,61,74,2,US_AR
2020-05-01,3310,64,29,3,US_AR
2020-05-02,3372,72,62,8,US_AR
2020-05-03,3431,76,59,4,US_AR
2020-05-04,3469,80,38,4,US_AR
2020-05-05,3525,83,56,3,US_AR
2020-05-06,3611,87,86,4,US_AR
2020-05-07,3694,88,83,1,US_AR
2020-05-08,3747,88,53,0,US_AR
2020-05-09,3747,88,0,0,US_AR
2020-05-10,4012,91,265,3,US_AR
2020-05-11,4043,94,31,3,US_AR
2020-05-12,4164,95,121,1,US_AR
2020-05-13,4236,97,72,2,US_AR
2020-05-14,4366,98,130,1,US_AR
2020-05-15,4463,98,97,0,US_AR
2020-05-16,4578,98,115,0,US_AR
2020-05-17,4759,98,181,0,US_AR
2020-05-18,4813,100,54,2,US_AR
2020-05-19,4923,102,110,2,US_AR
2020-05-20,5003,107,80,5,US_AR
2020-05-21,5458,110,455,3,US_AR
2020-05-22,5612,113,154,3,US_AR
2020-05-23,5775,115,163,2,US_AR
2020-05-24,5922,116,147,1,US_AR
2020-05-25,6029,117,107,1,US_AR
2020-05-26,6180,119,151,2,US_AR
2020-05-27,6277,120,97,1,US_AR
2020-05-28,6538,125,261,5,US_AR
2020-05-29,6777,132,239,7,US_AR
2020-05-30,7013,133,236,1,US_AR
2020-05-31,7253,133,240,0,US_AR
2020-06-01,7443,133,190,0,US_AR
2020-06-02,7818,136,375,3,US_AR
2020-06-03,8067,142,249,6,US_AR
2020-06-04,8425,151,358,9,US_AR
2020-06-05,8651,152,226,1,US_AR
2020-06-06,9101,154,450,2,US_AR
2020-06-07,9426,154,325,0,US_AR
2020-06-08,9740,155,314,1,US_AR
2020-06-09,10080,161,340,6,US_AR
2020-06-10,10368,165,288,4,US_AR
2020-06-11,10816,171,448,6,US_AR
2020-06-12,11547,176,731,5,US_AR
2020-06-13,12095,177,548,1,US_AR
2020-06-14,12501,179,406,2,US_AR
2020-06-15,12917,182,416,3,US_AR
2020-06-16,13191,188,274,6,US_AR
2020-06-17,13606,197,415,9,US_AR
2020-06-18,13928,208,322,11,US_AR
2020-06-19,14631,214,703,6,US_AR
2020-06-20,15142,224,511,10,US_AR
2020-06-21,15561,225,419,1,US_AR
2020-06-22,16083,227,522,2,US_AR
2020-06-23,16678,237,595,10,US_AR
2020-06-24,17375,240,697,3,US_AR
2020-06-25,18062,240,687,0,US_AR
2020-06-26,18740,249,678,9,US_AR
2020-01-26,1,0,,,US_AZ
2020-01-27,1,0,0,0,US_AZ
2020-01-28,1,0,0,0,US_AZ
2020-01-29,1,0,0,0,US_AZ
2020-01-30,1,0,0,0,US_AZ
2020-01-31,1,0,0,0,US_AZ
2020-02-01,1,0,0,0,US_AZ
2020-02-02,1,0,0,0,US_AZ
2020-02-03,1,0,0,0,US_AZ
2020-02-04,1,0,0,0,US_AZ
2020-02-05,1,0,0,0,US_AZ
2020-02-06,1,0,0,0,US_AZ
2020-02-07,1,0,0,0,US_AZ
2020-02-08,1,0,0,0,US_AZ
2020-02-09,1,0,0,0,US_AZ
2020-02-10,1,0,0,0,US_AZ
2020-02-11,1,0,0,0,US_AZ
2020-02-12,1,0,0,0,US_AZ
2020-02-13,1,0,0,0,US_AZ
2020-02-14,1,0,0,0,US_AZ
2020-02-15,1,0,0,0,US_AZ
2020-02-16,1,0,0,0,US_AZ
2020-02-17,1,0,0,0,US_AZ
2020-02-18,1,0,0,0,US_AZ
2020-02-19,1,0,0,0,US_AZ
2020-02-20,1,0,0,0,US_AZ
2020-02-21,1,0,0,0,US_AZ
2020-02-22,1,0,0,0,US_AZ
2020-02-23,1,0,0,0,US_AZ
2020-02-24,1,0,0,0,US_AZ
2020-02-25,1,0,0,0,US_AZ
2020-02-26,1,0,0,0,US_AZ
2020-02-27,1,0,0,0,US_AZ
2020-02-28,1,0,0,0,US_AZ
2020-02-29,1,0,0,0,US_AZ
2020-03-01,1,0,0,0,US_AZ
2020-03-02,1,0,0,0,US_AZ
2020-03-03,2,0,1,0,US_AZ
2020-03-04,2,0,0,0,US_AZ
2020-03-05,2,0,0,0,US_AZ
2020-03-06,3,0,1,0,US_AZ
2020-03-07,5,0,2,0,US_AZ
2020-03-08,5,0,0,0,US_AZ
2020-03-09,6,0,1,0,US_AZ
2020-03-10,6,0,0,0,US_AZ
2020-03-11,9,0,3,0,US_AZ
2020-03-12,9,0,0,0,US_AZ
2020-03-13,9,0,0,0,US_AZ
2020-03-14,12,0,3,0,US_AZ
2020-03-15,13,0,1,0,US_AZ
2020-03-16,18,0,5,0,US_AZ
2020-03-17,20,0,2,0,US_AZ
2020-03-18,28,0,8,0,US_AZ
2020-03-19,47,0,19,0,US_AZ
2020-03-20,70,1,23,1,US_AZ
2020-03-21,104,1,34,0,US_AZ
2020-03-22,153,2,49,1,US_AZ
2020-03-23,234,2,81,0,US_AZ
2020-03-24,326,6,92,4,US_AZ
2020-03-25,402,6,76,0,US_AZ
2020-03-26,508,8,106,2,US_AZ
2020-03-27,665,15,157,7,US_AZ
2020-03-28,773,15,108,0,US_AZ
2020-03-29,930,18,157,3,US_AZ
2020-03-30,1169,20,239,2,US_AZ
2020-03-31,1298,24,129,4,US_AZ
2020-04-01,1413,29,115,5,US_AZ
2020-04-02,1600,35,187,6,US_AZ
2020-04-03,1769,41,169,6,US_AZ
2020-04-04,2019,53,250,12,US_AZ
2020-04-05,2269,64,250,11,US_AZ
2020-04-06,2466,67,197,3,US_AZ
2020-04-07,2577,77,111,10,US_AZ
2020-04-08,2726,80,149,3,US_AZ
2020-04-09,3018,89,292,9,US_AZ
2020-04-10,3112,97,94,8,US_AZ
2020-04-11,3393,112,281,15,US_AZ
2020-04-12,3539,117,146,5,US_AZ
2020-04-13,3702,122,163,5,US_AZ
2020-04-14,3806,131,104,9,US_AZ
2020-04-15,3962,142,156,11,US_AZ
2020-04-16,4234,152,272,10,US_AZ
2020-04-17,4507,174,273,22,US_AZ
2020-04-18,4719,181,212,7,US_AZ
2020-04-19,4929,188,210,7,US_AZ
2020-04-20,5064,191,135,3,US_AZ
2020-04-21,5251,213,187,22,US_AZ
2020-04-22,5459,236,208,23,US_AZ
2020-04-23,5769,257,310,21,US_AZ
2020-04-24,6045,268,276,11,US_AZ
2020-04-25,6280,275,235,7,US_AZ
2020-04-26,6526,277,246,2,US_AZ
2020-04-27,6716,277,190,0,US_AZ
2020-04-28,6948,297,232,20,US_AZ
2020-04-29,7202,308,254,11,US_AZ
2020-04-30,7648,320,446,12,US_AZ
2020-05-01,7962,330,314,10,US_AZ
2020-05-02,8364,353,402,23,US_AZ
2020-05-03,8640,362,276,9,US_AZ
2020-05-04,8919,362,279,0,US_AZ
2020-05-05,9305,395,386,33,US_AZ
2020-05-06,9707,426,402,31,US_AZ
2020-05-07,9945,450,238,24,US_AZ
2020-05-08,10526,517,581,67,US_AZ
2020-05-09,10960,532,434,15,US_AZ
2020-05-10,11119,536,159,4,US_AZ
2020-05-11,11380,542,261,6,US_AZ
2020-05-12,11736,562,356,20,US_AZ
2020-05-13,12176,594,440,32,US_AZ
2020-05-14,12674,624,498,30,US_AZ
2020-05-15,13169,651,495,27,US_AZ
2020-05-16,13631,679,462,28,US_AZ
2020-05-17,13937,680,306,1,US_AZ
2020-05-18,14170,686,233,6,US_AZ
2020-05-19,14566,704,396,18,US_AZ
2020-05-20,14897,747,331,43,US_AZ
2020-05-21,15315,763,418,16,US_AZ
2020-05-22,15608,775,293,12,US_AZ
2020-05-23,16040,799,432,24,US_AZ
2020-05-24,16339,800,299,1,US_AZ
2020-05-25,16561,806,222,6,US_AZ
2020-05-26,16783,807,222,1,US_AZ
2020-05-27,17262,831,479,24,US_AZ
2020-05-28,17763,857,501,26,US_AZ
2020-05-29,18465,885,702,28,US_AZ
2020-05-30,19255,903,790,18,US_AZ
2020-05-31,19936,906,681,3,US_AZ
2020-06-01,20123,918,187,12,US_AZ
2020-06-02,21250,943,1127,25,US_AZ
2020-06-03,22245,983,995,40,US_AZ
2020-06-04,22818,1000,573,17,US_AZ
2020-06-05,24369,1016,1551,16,US_AZ
2020-06-06,25517,1046,1148,30,US_AZ
2020-06-07,26924,1048,1407,2,US_AZ
2020-06-08,27761,1052,837,4,US_AZ
2020-06-09,28396,1074,635,22,US_AZ
2020-06-10,29981,1100,1585,26,US_AZ
2020-06-11,31525,1130,1544,30,US_AZ
2020-06-12,33167,1157,1642,27,US_AZ
2020-06-13,34773,1190,1606,33,US_AZ
2020-06-14,35953,1194,1180,4,US_AZ
2020-06-15,37005,1204,1052,10,US_AZ
2020-06-16,39298,1228,2293,24,US_AZ
2020-06-17,41159,1252,1861,24,US_AZ
2020-06-18,43731,1287,2572,35,US_AZ
2020-06-19,46914,1322,3183,35,US_AZ
2020-06-20,50198,1347,3284,25,US_AZ
2020-06-21,52666,1350,2468,3,US_AZ
2020-06-22,54767,1354,2101,4,US_AZ
2020-06-23,58397,1398,3630,44,US_AZ
2020-06-24,60207,1467,1810,69,US_AZ
2020-06-25,63297,1495,3090,28,US_AZ
2020-06-26,66676,1537,3379,42,US_AZ
2020-01-25,1,0,,,US_CA
2020-01-26,2,0,1,0,US_CA
2020-01-27,2,0,0,0,US_CA
2020-01-28,2,0,0,0,US_CA
2020-01-29,2,0,0,0,US_CA
2020-01-30,2,0,0,0,US_CA
2020-01-31,3,0,1,0,US_CA
2020-02-01,3,0,0,0,US_CA
2020-02-02,6,0,3,0,US_CA
2020-02-03,6,0,0,0,US_CA
2020-02-04,6,0,0,0,US_CA
2020-02-05,6,0,0,0,US_CA
2020-02-06,6,0,0,0,US_CA
2020-02-07,6,0,0,0,US_CA
2020-02-08,6,0,0,0,US_CA
2020-02-09,6,0,0,0,US_CA
2020-02-10,7,0,1,0,US_CA
2020-02-11,7,0,0,0,US_CA
2020-02-12,7,0,0,0,US_CA
2020-02-13,7,0,0,0,US_CA
2020-02-14,7,0,0,0,US_CA
2020-02-15,7,0,0,0,US_CA
2020-02-16,7,0,0,0,US_CA
2020-02-17,7,0,0,0,US_CA
2020-02-18,7,0,0,0,US_CA
2020-02-19,7,0,0,0,US_CA
2020-02-20,8,0,1,0,US_CA
2020-02-21,9,0,1,0,US_CA
2020-02-22,9,0,0,0,US_CA
2020-02-23,9,0,0,0,US_CA
2020-02-24,11,0,2,0,US_CA
2020-02-25,11,0,0,0,US_CA
2020-02-26,26,0,15,0,US_CA
2020-02-27,26,0,0,0,US_CA
2020-02-28,27,0,1,0,US_CA
2020-02-29,28,0,1,0,US_CA
2020-03-01,33,0,5,0,US_CA
2020-03-02,38,0,5,0,US_CA
2020-03-03,45,0,7,0,US_CA
2020-03-04,55,1,10,1,US_CA
2020-03-05,67,1,12,0,US_CA
2020-03-06,81,1,14,0,US_CA
2020-03-07,100,1,19,0,US_CA
2020-03-08,112,1,12,0,US_CA
2020-03-09,172,2,60,1,US_CA
2020-03-10,179,3,7,1,US_CA
2020-03-11,202,4,23,1,US_CA
2020-03-12,252,4,50,0,US_CA
2020-03-13,320,5,68,1,US_CA
2020-03-14,381,5,61,0,US_CA
2020-03-15,478,6,97,1,US_CA
2020-03-16,588,11,110,5,US_CA
2020-03-17,732,14,144,3,US_CA
2020-03-18,893,17,161,3,US_CA
2020-03-19,1067,19,174,2,US_CA
2020-03-20,1283,24,216,5,US_CA
2020-03-21,1544,28,261,4,US_CA
2020-03-22,1851,35,307,7,US_CA
2020-03-23,2240,39,389,4,US_CA
2020-03-24,2644,52,404,13,US_CA
2020-03-25,3183,68,539,16,US_CA
2020-03-26,4060,83,877,15,US_CA
2020-03-27,4915,104,855,21,US_CA
2020-03-28,5566,122,651,18,US_CA
2020-03-29,6321,132,755,10,US_CA
2020-03-30,7421,147,1100,15,US_CA
2020-03-31,8583,184,1162,37,US_CA
2020-04-01,9857,212,1274,28,US_CA
2020-04-02,11190,247,1333,35,US_CA
2020-04-03,12569,282,1379,35,US_CA
2020-04-04,13796,323,1227,41,US_CA
2020-04-05,15202,351,1406,28,US_CA
2020-04-06,16361,386,1159,35,US_CA
2020-04-07,17540,447,1179,61,US_CA
2020-04-08,19043,506,1503,59,US_CA
2020-04-09,20191,548,1148,42,US_CA
2020-04-10,21366,594,1175,46,US_CA
2020-04-11,22421,632,1055,38,US_CA
2020-04-12,23323,676,902,44,US_CA
2020-04-13,24334,725,1011,49,US_CA
2020-04-14,25758,778,1424,53,US_CA
2020-04-15,27107,885,1349,107,US_CA
2020-04-16,28142,971,1035,86,US_CA
2020-04-17,29398,1050,1256,79,US_CA
2020-04-18,30829,1146,1431,96,US_CA
2020-04-19,31544,1176,715,30,US_CA
2020-04-20,33862,1223,2318,47,US_CA
2020-04-21,35844,1316,1982,93,US_CA
2020-04-22,37573,1425,1729,109,US_CA
2020-04-23,39534,1548,1961,123,US_CA
2020-04-24,41368,1619,1834,71,US_CA
2020-04-25,42590,1692,1222,73,US_CA
2020-04-26,43691,1716,1101,24,US_CA
2020-04-27,45208,1800,1517,84,US_CA
2020-04-28,46570,1884,1362,84,US_CA
2020-04-29,48904,1961,2334,77,US_CA
2020-04-30,50470,2057,1566,96,US_CA
2020-05-01,52318,2147,1848,90,US_CA
2020-05-02,53753,2213,1435,66,US_CA
2020-05-03,55072,2235,1319,22,US_CA
2020-05-04,56333,2297,1261,62,US_CA
2020-05-05,58848,2386,2515,89,US_CA
2020-05-06,60787,2478,1939,92,US_CA
2020-05-07,62481,2561,1694,83,US_CA
2020-05-08,64616,2650,2135,89,US_CA
2020-05-09,66824,2732,2208,82,US_CA
2020-05-10,68051,2769,1227,37,US_CA
2020-05-11,69514,2820,1463,51,US_CA
2020-05-12,71150,2902,1636,82,US_CA
2020-05-13,73218,3014,2068,112,US_CA
2020-05-14,74947,3039,1729,25,US_CA
2020-05-15,77015,3192,2068,153,US_CA
2020-05-16,78933,3254,1918,62,US_CA
2020-05-17,80366,3290,1433,36,US_CA
2020-05-18,81943,3322,1577,32,US_CA
2020-05-19,83981,3422,2038,100,US_CA
2020-05-20,86125,3514,2144,92,US_CA
2020-05-21,88488,3624,2363,110,US_CA
2020-05-22,90801,3690,2313,66,US_CA
2020-05-23,92815,3768,2014,78,US_CA
2020-05-24,94743,3790,1928,22,US_CA
2020-05-25,97017,3808,2274,18,US_CA
2020-05-26,99925,3859,2908,51,US_CA
2020-05-27,101874,3961,1949,102,US_CA
2020-05-28,104071,4042,2197,81,US_CA
2020-05-29,107043,4144,2972,102,US_CA
2020-05-30,110100,4214,3057,70,US_CA
2020-05-31,113114,4242,3014,28,US_CA
2020-06-01,115643,4287,2529,45,US_CA
2020-06-02,118081,4360,2438,73,US_CA
2020-06-03,120407,4422,2326,62,US_CA
2020-06-04,122917,4484,2510,62,US_CA
2020-06-05,126510,4550,3593,66,US_CA
2020-06-06,129147,4626,2637,76,US_CA
2020-06-07,131997,4653,2850,27,US_CA
2020-06-08,134287,4679,2290,26,US_CA
2020-06-09,137245,4775,2958,96,US_CA
2020-06-10,140139,4869,2894,94,US_CA
2020-06-11,143709,4941,3570,72,US_CA
2020-06-12,147285,4986,3576,45,US_CA
2020-06-13,150434,5059,3149,73,US_CA
2020-06-14,152953,5089,2519,30,US_CA
2020-06-15,155662,5120,2709,31,US_CA
2020-06-16,159131,5202,3469,82,US_CA
2020-06-17,163381,5283,4250,81,US_CA
2020-06-18,167135,5359,3754,76,US_CA
2020-06-19,170843,5425,3708,66,US_CA
2020-06-20,174854,5495,4011,70,US_CA
2020-06-21,178807,5517,3953,22,US_CA
2020-06-22,184620,5561,5813,44,US_CA
2020-06-23,191039,5637,6419,76,US_CA
2020-06-24,195889,5728,4850,91,US_CA
2020-06-25,201413,5810,5524,82,US_CA
2020-06-26,207027,5872,5614,62,US_CA
2020-03-05,2,0,,,US_CO
2020-03-06,8,0,6,0,US_CO
2020-03-07,8,0,0,0,US_CO
2020-03-08,8,0,0,0,US_CO
2020-03-09,12,0,4,0,US_CO
2020-03-10,17,0,5,0,US_CO
2020-03-11,34,0,17,0,US_CO
2020-03-12,49,1,15,1,US_CO
2020-03-13,78,2,29,1,US_CO
2020-03-14,103,2,25,0,US_CO
2020-03-15,136,2,33,0,US_CO
2020-03-16,161,2,25,0,US_CO
2020-03-17,183,3,22,1,US_CO
2020-03-18,216,3,33,0,US_CO
2020-03-19,278,5,62,2,US_CO
2020-03-20,364,5,86,0,US_CO
2020-03-21,475,6,111,1,US_CO
2020-03-22,591,7,116,1,US_CO
2020-03-23,721,10,130,3,US_CO
2020-03-24,912,11,191,1,US_CO
2020-03-25,1086,19,174,8,US_CO
2020-03-26,1432,24,346,5,US_CO
2020-03-27,1735,31,303,7,US_CO
2020-03-28,2061,44,326,13,US_CO
2020-03-29,2315,47,254,3,US_CO
2020-03-30,2628,51,313,4,US_CO
2020-03-31,2990,69,362,18,US_CO
2020-04-01,3346,80,356,11,US_CO
2020-04-02,3728,96,382,16,US_CO
2020-04-03,4182,110,454,14,US_CO
2020-04-04,4574,126,392,16,US_CO
2020-04-05,4950,140,376,14,US_CO
2020-04-06,5172,150,222,10,US_CO
