Governorate,Cases,Deaths,Recoveries,Active Cases,Date
DIWANIYA,41,16,1,24,2020-06-02
DIYALA,74,33,7,34,2020-06-02
ERBIL,281,228,1,52,2020-06-02
KERBALA,244,124,9,111,2020-06-02
KIRKUK,86,70,3,13,2020-06-02
MISSAN,142,47,6,89,2020-06-02
MUTHANNA,168,105,4,59,2020-06-02
NAJAF,352,311,6,35,2020-06-02
NINEWA,51,14,0,37,2020-06-02
SALAH AL-DIN,22,10,0,12,2020-06-02
SULAYMANIYAH,396,173,6,217,2020-06-02
THI-QAR,136,82,4,50,2020-06-02
WASSIT,159,58,4,97,2020-06-02
ANBAR,6,0,5,1,2020-05-31
BABYLON,127,5,41,81,2020-05-31
BAGHDAD-KARKH,1235,23,426,786,2020-05-31
BAGHDAD-RESAFA and MIDICAL CITY,2290,109,760,1421,2020-05-31
BASRAH,827,19,658,150,2020-05-31
DAHUK,31,0,19,12,2020-05-31
DIWANIYA,33,1,13,19,2020-05-31
DIYALA,70,7,28,35,2020-05-31
ERBIL,281,1,217,63,2020-05-31
KERBALA,233,9,124,100,2020-05-31
KIRKUK,86,3,70,13,2020-05-31
MISSAN,104,5,47,52,2020-05-31
MUTHANNA,155,4,105,46,2020-05-31
NAJAF,346,6,310,30,2020-05-31
NINEWA,45,0,14,31,2020-05-31
SALAH AL-DIN,22,0,10,12,2020-05-31
SULAYMANIYAH,294,5,173,116,2020-05-31
THI-QAR,136,4,82,50,2020-05-31
WASSIT,118,4,54,60,2020-05-31
ANBAR,5,2,0,3,2020-05-13
BABYLON,47,26,5,16,2020-05-13
BAGHDAD-KARKH,316,124,12,180,2020-05-13
BAGHDAD-RESAFA and MIDICAL CITY,846,418,45,383,2020-05-13
BASRAH,633,373,18,242,2020-05-13
DAHUK,19,19,0,0,2020-05-13
DIWANIYA,12,11,1,0,2020-05-13
DIYALA,26,15,4,7,2020-05-13
ERBIL,212,200,1,11,2020-05-13
KERBALA,110,90,7,13,2020-05-13
KIRKUK,70,44,2,24,2020-05-13
MISSAN,43,19,2,22,2020-05-13
MUTHANNA,100,62,3,35,2020-05-13
NAJAF,307,299,6,2,2020-05-13
NINEWA,8,6,0,2,2020-05-13
SALAH AL-DIN,9,6,0,3,2020-05-13
SULAYMANIYAH,160,156,4,0,2020-05-13
THI-QAR,72,62,3,7,2020-05-13
WASSIT,37,34,2,1,2020-05-13
ANBAR,5,2,0,3,2020-05-12
BABYLON,47,26,5,16,2020-05-12
BAGHDAD-KARKH,282,119,11,152,2020-05-12
BAGHDAD-RESAFA and MIDICAL CITY,798,410,43,345,2020-05-12
BASRAH,601,347,18,236,2020-05-12
DAHUK,19,19,0,0,2020-05-12
DIWANIYA,12,11,1,0,2020-05-12
DIYALA,25,15,4,6,2020-05-12
ERBIL,212,197,1,14,2020-05-12
KERBALA,110,83,7,20,2020-05-12
KIRKUK,70,42,2,26,2020-05-12
MISSAN,43,10,2,31,2020-05-12
MUTHANNA,98,59,3,36,2020-05-12
NAJAF,6,6,0,0,2020-05-12
NINEWA,8,6,0,2,2020-05-12
SALAH AL-DIN,9,6,0,3,2020-05-12
SULAYMANIYAH,160,156,4,0,2020-05-12
THI-QAR,72,62,3,7,2020-05-12
WASSIT,37,34,2,1,2020-05-12
ANBAR,5,2,0,3,2020-05-11
BABYLON,47,26,5,16,2020-05-11
BAGHDAD-KARKH,256,118,10,128,2020-05-11
BAGHDAD-RESAFA and MIDICAL CITY,753,360,42,351,2020-05-11
BASRAH,583,304,18,261,2020-05-11
DAHUK,19,19,0,0,2020-05-11
DIWANIYA,12,11,1,0,2020-05-11
DIYALA,20,15,4,1,2020-05-11
ERBIL,212,196,1,15,2020-05-11
KERBALA,109,83,7,19,2020-05-11
KIRKUK,70,33,2,35,2020-05-11
MISSAN,43,10,2,31,2020-05-11
MUTHANNA,98,59,3,36,2020-05-11
NAJAF,307,297,6,4,2020-05-11
NINEWA,6,6,0,0,2020-05-11
SALAH AL-DIN,9,4,0,5,2020-05-11
SULAYMANIYAH,160,156,4,0,2020-05-11
THI-QAR,72,58,3,11,2020-05-11
WASSIT,37,33,2,2,2020-05-11
ANBAR,,,,,2020-05-10
BABYLON,,,,,2020-05-10
BAGHDAD-KARKH,,,,,2020-05-10
BAGHDAD-RESAFA and MIDICAL CITY,,,,,2020-05-10
BASRAH,,,,,2020-05-10
DAHUK,,,,,2020-05-10
DIWANIYA,,,,,2020-05-10
DIYALA,,,,,2020-05-10
ERBIL,,,,,2020-05-10
KERBALA,,,,,2020-05-10
KIRKUK,,,,,2020-05-10
MISSAN,,,,,2020-05-10
MUTHANNA,,,,,2020-05-10
NAJAF,,,,,2020-05-10
NINEWA,,,,,2020-05-10
SALAH AL-DIN,,,,,2020-05-10
SULAYMANIYAH,,,,,2020-05-10
THI-QAR,,,,,2020-05-10
WASSIT,,,,,2020-05-10
