date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
10-05-2020,20200510,519,105,1247,606,28,22,23,16,1607,0,4173,https://twitter.com/nicd_sa/status/1259559705581625345/photo/1
13-05-2020,20200513,632,107,1343,618,30,24,24,17,1950,0,4745,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1
14-05-2020,20200514,643,108,1547,689,35,34,28,19,2573,0,5676,https://twitter.com/nicd_sa/status/1260981356328337414/photo/1
15-05-2020,20200515,643,108,1552,795,36,44,20,28,2857,0,6083,https://twitter.com/nicd_sa/status/1261360621804806145/photo/1
16-05-2020,20200516,746,108,1583,806,37,49,24,28,3097,0,6478,https://twitter.com/nicd_sa/status/1261738963716489219/photo/1
17-05-2020,20200517,839,108,1583,817,37,49,24,28,3521,0,7006,https://twitter.com/nicd_sa/status/1262110389111791617/photo/1
18-05-2020,20200518,839,108,1657,818,37,53,27,28,3731,0,7298,https://twitter.com/nicd_sa/status/1262476267405946883/photo/1
19-05-2020,20200519,839,118,1671,818,39,57,27,28,4363,0,7960,https://twitter.com/nicd_sa/status/1262827841550528517/photo/1
20-05-2020,20200520,1036,118,1694,842,42,58,27,28,5105,0,8950,https://twitter.com/nicd_sa/status/1263182934594420736/photo/1
21-05-2020,20200521,1036,118,1694,842,42,58,27,28,5105,0,8950,https://twitter.com/nicd_sa/status/1263466016874680322/photo/1
22-05-2020,20200522,1036,121,1776,880,51,58,27,29,6126,0,10104,https://twitter.com/nicd_sa/status/1263892865769504768/photo/1
23-05-2020,20200523,1036,121,1776,880,51,58,27,29,6126,0,10104,https://twitter.com/nicd_sa/status/1264277822891327489/photo/1
24-05-2020,20200524,1335,121,1840,1111,53,58,28,29,6525,0,11100,https://twitter.com/nicd_sa/status/1264637660045377540/photo/1
25-05-2020,20200525,1335,121,1899,1168,55,61,28,29,7221,0,11917,https://twitter.com/nicd_sa/status/1265002094299426817/photo/1
26-05-2020,20200526,1491,123,1919,1180,65,61,29,29,7844,0,12741,https://twitter.com/nicd_sa/status/1265381678001913857/photo/1
27-05-2020,20200527,1491,123,1955,1180,67,62,30,39,8504,0,13451,https://twitter.com/nicd_sa/status/1265738793904201728/photo/1
28-05-2020,20200528,1700,123,1993,1180,75,67,30,45,9157,0,14370,https://twitter.com/nicd_sa/status/1266132429858918400/photo/1
29-05-2020,20200529,1700,124,2019,1180,97,67,31,45,9830,0,15093,https://twitter.com/nicd_sa/status/1266458332031848459/photo/1
30-05-2020,20200530,1987,123,2035,1180,140,67,31,45,10508,0,16116,https://twitter.com/nicd_sa/status/1266797798369964034/photo/1
31-05-2020,20200531,1987,124,2060,1248,143,72,31,45,11099,0,16809,https://twitter.com/nicd_sa/status/1267168836924641281/photo/1
01-06-2020,20200601,2123,123,2060,1248,144,86,31,45,11431,0,17291,https://twitter.com/nicd_sa/status/1267462844578226178/photo/1
02-06-2020,20200602,2123,123,2060,1248,145,86,33,59,12436,0,18313,https://twitter.com/nicd_sa/status/1267904171778412545/photo/1
03-06-2020,20200603,2123,123,2169,1248,145,86,33,59,13696,0,19682,https://twitter.com/nicd_sa/status/1268264707401662464/photo/1
04-06-2020,20200604,2460,128,2222,1260,146,86,33,59,14917,0,21311,https://twitter.com/nicd_sa/status/1268630460286087175/photo/1
05-06-2020,20200605,2460,123,2344,1378,149,94,34,73,16433,0,23088,https://twitter.com/nicd_sa/status/1268987910034001924/photo/1
06-06-2020,20200606,2666,152,2344,1378,158,94,38,73,17355,0,24258,https://twitter.com/nicd_sa/status/1269362848700010500/photo/1
07-06-2020,20200607,2666,152,2428,1378,158,102,41,73,17366,0,24364,https://twitter.com/nicd_sa/status/1269717709786427393/photo/1
08-06-2020,20200608,2666,152,2428,1378,158,102,41,73,19101,0,26099,https://twitter.com/nicd_sa/status/1270077710539337728/photo/1
09-06-2020,20200609,3514,162,2575,1566,158,111,41,88,20791,0,29006,https://twitter.com/nicd_sa/status/1270426173798039552/photo/1
10-06-2020,20200610,3647,162,2825,1572,175,116,42,104,22862,0,31505,https://twitter.com/nicd_sa/status/1270814096137555968/photo/1
11-06-2020,20200611,3647,162,2825,1572,175,116,42,104,22862,0,31505,https://twitter.com/HealthZA/status/1271176008054575105/photo/2
12-06-2020,20200612,4393,189,2948,1572,175,116,52,128,25435,0,35008,https://twitter.com/nicd_sa/status/1271539036679798784/photo/1
13-06-2020,20200613,4559,189,3075,1810,185,116,52,128,26736,0,36850,https://twitter.com/nicd_sa/status/1271887439167213568/photo/1
14-06-2020,20200614,5244,222,3207,1810,185,132,52,152,27527,0,38531,https://twitter.com/nicd_sa/status/1272271278678949893/photo/1
15-06-2020,20200615,5331,222,3348,1810,199,138,52,152,28615,0,39867,https://twitter.com/nicd_sa/status/1272656484615311364/photo/1
16-06-2020,20200616,5475,222,3442,2133,213,138,52,152,30236,0,42063,https://twitter.com/nicd_sa/status/1273017728232800257/photo/1
17-06-2020,20200617,5845,222,3716,2133,218,146,52,175,31824,0,44331,https://twitter.com/nicd_sa/status/1273335858674925570/photo/1
18-06-2020,20200618,6331,235,3756,2133,229,156,81,175,31824,0,44920,https://sacoronavirus.co.za/2020/06/18/update-on-covid-19-18th-june-2020/
19-06-2020,20200619,6331,235,4001,2527,236,156,97,175,34067,0,47825,https://twitter.com/nicd_sa/status/1274062298550763522/photo/1
20-06-2020,20200620,7470,236,4273,2527,236,156,97,175,35156,0,50326,https://twitter.com/nicd_sa/status/1274401833851781127/photo/1
21-06-2020,20200621,7738,264,4673,2594,246,176,110,248,35559,0,51608,https://twitter.com/nicd_sa/status/1274787482115153922/photo/1
22-06-2020,20200622,8035,264,5620,2769,257,181,112,248,35958,0,53444,https://twitter.com/nicd_sa/status/1275158815630077957/photo/1
23-06-2020,20200623,8259,264,5620,2849,270,181,112,256,37234,0,55045,https://twitter.com/nicd_sa/status/1275514669973766144/photo/1
