dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad
03;2020-04-08;10;3;2;2
03;2020-04-09;3;1;0;0
03;2020-04-10;6;2;0;6
03;2020-04-11;8;1;2;2
03;2020-04-12;4;0;1;6
04;2020-03-19;1;0;0;1
04;2020-03-20;0;0;0;0
04;2020-03-21;1;0;0;0
04;2020-03-22;0;0;0;0
04;2020-03-23;0;0;0;0
04;2020-03-24;0;0;0;0
04;2020-03-25;17;0;0;13
04;2020-03-26;1;0;0;0
04;2020-03-27;4;0;0;2
04;2020-03-28;4;0;0;3
04;2020-03-29;0;0;0;0
04;2020-03-30;15;3;1;8
04;2020-03-31;5;0;1;3
04;2020-04-01;4;1;0;2
04;2020-04-02;15;0;1;13
04;2020-04-03;5;1;0;1
04;2020-04-04;0;0;0;0
04;2020-04-05;2;2;0;0
04;2020-04-06;11;0;1;5
04;2020-04-07;1;0;0;7
04;2020-04-08;3;0;0;2
04;2020-04-09;1;0;0;0
04;2020-04-10;6;1;0;3
04;2020-04-11;3;1;0;4
04;2020-04-12;0;0;1;0
05;2020-03-19;4;0;0;1
05;2020-03-20;2;0;0;0
05;2020-03-21;3;0;0;1
05;2020-03-22;3;0;0;0
05;2020-03-23;5;3;0;2
05;2020-03-24;4;1;1;4
05;2020-03-25;6;0;0;3
05;2020-03-26;7;1;0;1
05;2020-03-27;5;1;0;2
05;2020-03-28;4;0;0;4
05;2020-03-29;8;2;0;1
05;2020-03-30;9;0;0;6
05;2020-03-31;7;1;0;3
05;2020-04-01;8;2;0;0
05;2020-04-02;8;5;0;2
05;2020-04-03;6;3;0;0
05;2020-04-04;1;1;0;5
05;2020-04-05;2;0;0;3
05;2020-04-06;6;1;1;1
05;2020-04-07;2;1;0;2
05;2020-04-08;2;2;0;5
05;2020-04-09;1;0;0;8
05;2020-04-10;2;0;0;4
05;2020-04-11;1;0;0;3
05;2020-04-12;1;0;1;0
06;2020-03-19;12;4;0;4
06;2020-03-20;22;3;2;10
06;2020-03-21;5;0;2;1
06;2020-03-22;2;1;2;2
06;2020-03-23;23;6;0;0
06;2020-03-24;12;1;0;23
06;2020-03-25;29;5;1;8
06;2020-03-26;18;1;3;5
06;2020-03-27;19;4;0;5
06;2020-03-28;22;4;3;11
06;2020-03-29;19;6;2;10
06;2020-03-30;11;5;3;1
06;2020-03-31;23;4;3;7
06;2020-04-01;40;9;6;18
06;2020-04-02;43;17;3;9
06;2020-04-03;36;9;3;9
06;2020-04-04;38;12;3;18
06;2020-04-05;11;2;5;4
06;2020-04-06;31;11;4;10
06;2020-04-07;37;11;1;13
06;2020-04-08;32;16;8;16
06;2020-04-09;26;5;5;11
06;2020-04-10;39;7;2;14
06;2020-04-11;11;2;4;20
06;2020-04-12;6;2;1;2
07;2020-03-19;7;1;0;0
07;2020-03-20;7;1;1;3
07;2020-03-21;6;0;0;1
07;2020-03-22;3;1;0;0
07;2020-03-23;7;0;1;0
07;2020-03-24;8;2;1;1
07;2020-03-25;43;1;1;33
07;2020-03-26;12;1;1;5
07;2020-03-27;12;2;4;6
07;2020-03-28;33;0;1;21
07;2020-03-29;9;1;1;1
07;2020-03-30;21;1;1;12
07;2020-03-31;33;5;1;20
07;2020-04-01;14;2;4;11
07;2020-04-02;13;3;6;10
07;2020-04-03;17;1;1;5
07;2020-04-04;1;0;2;7
07;2020-04-05;7;1;0;0
07;2020-04-06;23;3;4;9
07;2020-04-07;16;2;2;10
07;2020-04-08;9;3;3;6
07;2020-04-09;7;2;3;10
07;2020-04-10;10;2;2;10
07;2020-04-11;3;2;0;6
07;2020-04-12;2;1;0;2
08;2020-03-19;1;1;0;0
08;2020-03-20;0;0;0;0
08;2020-03-21;2;0;0;0
08;2020-03-22;1;0;0;0
08;2020-03-23;1;1;0;0
08;2020-03-24;0;0;0;1
08;2020-03-25;2;1;0;0
08;2020-03-26;8;4;0;0
08;2020-03-27;1;2;0;0
08;2020-03-28;11;0;0;0
08;2020-03-29;7;3;0;2
08;2020-03-30;0;0;0;0
08;2020-03-31;23;8;0;4
08;2020-04-01;7;0;1;0
08;2020-04-02;13;1;0;2
08;2020-04-03;5;0;1;3
08;2020-04-04;10;2;1;7
08;2020-04-05;10;0;1;3
08;2020-04-06;8;0;2;7
08;2020-04-07;13;1;0;7
08;2020-04-08;0;0;1;2
08;2020-04-09;11;2;2;5
08;2020-04-10;9;0;2;8
08;2020-04-11;3;1;2;5
08;2020-04-12;23;0;4;9
09;2020-03-19;0;0;0;0
09;2020-03-20;1;0;0;0
09;2020-03-21;1;0;0;1
09;2020-03-22;1;0;0;0
09;2020-03-23;1;2;0;0
09;2020-03-24;0;0;0;0
09;2020-03-25;5;0;0;1
09;2020-03-26;0;0;0;0
09;2020-03-27;1;0;0;0
09;2020-03-28;0;0;0;0
09;2020-03-29;0;1;0;0
09;2020-03-30;2;1;0;0
09;2020-03-31;3;0;0;2
09;2020-04-01;5;3;0;1
09;2020-04-02;2;0;1;1
09;2020-04-03;0;0;0;0
09;2020-04-04;1;0;0;2
09;2020-04-05;3;0;0;0
09;2020-04-06;1;0;0;1
09;2020-04-07;2;0;0;1
09;2020-04-08;3;0;0;1
09;2020-04-09;1;0;0;1
09;2020-04-10;1;0;0;4
09;2020-04-11;0;0;0;0
09;2020-04-12;1;0;0;0
10;2020-03-19;6;2;0;0
10;2020-03-20;2;0;0;0
10;2020-03-21;6;2;0;0
10;2020-03-22;9;0;0;0
10;2020-03-23;11;1;2;0
10;2020-03-24;4;1;0;0
10;2020-03-25;17;5;4;3
10;2020-03-26;12;2;0;0
10;2020-03-27;3;0;0;0
10;2020-03-28;4;0;1;0
10;2020-03-29;1;0;0;0
10;2020-03-30;6;0;0;1
10;2020-03-31;13;1;1;0
10;2020-04-01;34;5;10;17
10;2020-04-02;23;2;2;3
10;2020-04-03;9;0;1;1
10;2020-04-04;39;5;10;2
10;2020-04-05;10;1;3;0
10;2020-04-06;3;0;1;0
10;2020-04-07;13;2;3;3
10;2020-04-08;29;2;9;24
10;2020-04-09;157;5;11;95
10;2020-04-10;62;0;1;49
10;2020-04-11;9;0;2;0
10;2020-04-12;24;0;0;1
11;2020-03-19;19;5;3;4
11;2020-03-20;10;2;2;1
11;2020-03-21;2;0;3;0
11;2020-03-22;5;1;1;0
11;2020-03-23;14;4;0;0
11;2020-03-24;5;1;2;0
11;2020-03-25;12;1;3;4
11;2020-03-26;13;3;1;6
11;2020-03-27;12;2;0;3
11;2020-03-28;21;5;2;8
11;2020-03-29;18;1;0;1
11;2020-03-30;18;2;1;1
11;2020-03-31;14;0;2;3
11;2020-04-01;17;1;2;7
11;2020-04-02;31;1;0;6
11;2020-04-03;7;1;4;3
11;2020-04-04;8;1;0;3
11;2020-04-05;8;0;3;6
11;2020-04-06;7;2;4;4
11;2020-04-07;14;3;0;9
11;2020-04-08;4;0;3;5
11;2020-04-09;3;1;2;5
11;2020-04-10;6;2;1;7
11;2020-04-11;7;0;0;5
11;2020-04-12;16;0;1;0
12;2020-03-19;4;0;1;1
12;2020-03-20;4;0;0;1
12;2020-03-21;1;0;0;1
12;2020-03-22;2;0;0;0
12;2020-03-23;1;0;0;0
12;2020-03-24;6;1;0;1
12;2020-03-25;3;1;0;5
12;2020-03-26;8;2;3;0
12;2020-03-27;6;1;1;3
12;2020-03-28;13;0;1;3
12;2020-03-29;2;0;0;0
12;2020-03-30;10;2;0;3
12;2020-03-31;6;2;0;2
12;2020-04-01;4;0;1;0
12;2020-04-02;9;1;0;3
12;2020-04-03;13;1;1;2
12;2020-04-04;10;2;2;5
12;2020-04-05;3;0;2;3
12;2020-04-06;6;0;0;1
12;2020-04-07;4;0;1;7
12;2020-04-08;3;0;1;5
12;2020-04-09;4;1;1;3
12;2020-04-10;7;2;2;6
12;2020-04-11;8;0;0;2
12;2020-04-12;2;0;1;0
13;2020-03-19;94;20;0;44
13;2020-03-20;43;4;0;7
13;2020-03-21;62;13;0;21
13;2020-03-22;48;1;0;11
13;2020-03-23;80;16;0;30
13;2020-03-24;94;20;3;30
13;2020-03-25;81;5;5;65
13;2020-03-26;115;22;4;53
13;2020-03-27;136;16;4;38
13;2020-03-28;109;16;3;27
13;2020-03-29;119;27;7;6
13;2020-03-30;136;34;5;22
13;2020-03-31;165;22;12;101
13;2020-04-01;141;29;8;94
13;2020-04-02;106;20;10;33
13;2020-04-03;160;29;14;67
13;2020-04-04;98;15;11;62
13;2020-04-05;78;10;6;19
13;2020-04-06;149;17;25;45
13;2020-04-07;67;10;16;138
13;2020-04-08;134;19;8;71
13;2020-04-09;74;11;10;120
13;2020-04-10;127;30;6;62
13;2020-04-11;46;9;13;56
13;2020-04-12;86;9;2;11
14;2020-03-19;3;0;0;1
14;2020-03-20;1;0;1;2
14;2020-03-21;7;3;0;1
14;2020-03-22;10;2;0;0
14;2020-03-23;11;2;0;2
14;2020-03-24;5;5;0;2
14;2020-03-25;19;5;0;1
14;2020-03-26;9;3;0;4
14;2020-03-27;16;5;1;1
14;2020-03-28;23;9;0;4
14;2020-03-29;16;5;0;1
14;2020-03-30;7;1;5;1
14;2020-03-31;9;4;0;4
14;2020-04-01;24;7;1;7
14;2020-04-02;19;9;1;0
14;2020-04-03;12;8;2;8
14;2020-04-04;10;5;2;13
14;2020-04-05;15;3;3;1
14;2020-04-06;18;5;7;7
14;2020-04-07;14;0;3;6
14;2020-04-08;13;2;3;4
14;2020-04-09;7;2;2;4
14;2020-04-10;13;1;1;1
14;2020-04-11;9;1;2;10
14;2020-04-12;6;0;2;8
15;2020-03-19;1;0;0;0
15;2020-03-20;1;0;0;0
15;2020-03-21;1;0;0;0
15;2020-03-22;0;1;0;0
15;2020-03-23;0;0;0;0
15;2020-03-24;2;1;0;0
15;2020-03-25;1;1;0;1
15;2020-03-26;0;0;0;1
15;2020-03-27;1;0;0;0
15;2020-03-28;1;0;0;0
15;2020-03-29;0;0;0;0
15;2020-03-30;3;0;0;0
15;2020-03-31;3;1;0;0
15;2020-04-01;1;1;0;1
15;2020-04-02;8;0;0;1
15;2020-04-03;3;2;0;0
15;2020-04-04;1;0;0;0
15;2020-04-05;2;1;0;0
15;2020-04-06;2;0;0;0
15;2020-04-07;0;1;0;3
15;2020-04-08;2;1;0;2
15;2020-04-09;2;0;0;1
15;2020-04-10;0;0;0;0
15;2020-04-11;0;0;0;0
15;2020-04-12;1;0;0;0
16;2020-03-19;1;0;0;2
16;2020-03-20;1;0;0;0
16;2020-03-21;2;1;0;0
16;2020-03-22;3;2;1;0
16;2020-03-23;2;2;0;0
16;2020-03-24;8;0;1;0
16;2020-03-25;12;1;2;0
16;2020-03-26;5;0;0;4
16;2020-03-27;10;2;0;2
16;2020-03-28;2;1;2;4
16;2020-03-29;10;2;1;1
16;2020-03-30;6;0;2;0
16;2020-03-31;4;0;1;6
16;2020-04-01;6;1;0;2
16;2020-04-02;4;1;1;2
16;2020-04-03;4;1;0;4
16;2020-04-04;1;1;0;1
16;2020-04-05;3;0;2;1
16;2020-04-06;0;0;1;1
16;2020-04-07;0;0;1;2
16;2020-04-08;3;1;1;2
16;2020-04-09;0;0;0;0
16;2020-04-10;1;1;0;2
16;2020-04-11;0;0;0;0
16;2020-04-12;1;0;0;1
17;2020-03-19;2;0;0;0
17;2020-03-20;2;1;0;0
17;2020-03-21;4;2;0;2
17;2020-03-22;2;1;0;1
17;2020-03-23;3;1;0;1
17;2020-03-24;14;0;0;0
17;2020-03-25;10;0;0;1
17;2020-03-26;28;7;0;8
17;2020-03-27;9;2;0;1
17;2020-03-28;10;5;1;3
17;2020-03-29;11;5;2;1
17;2020-03-30;17;3;3;1
17;2020-03-31;9;3;3;6
17;2020-04-01;18;3;1;4
17;2020-04-02;10;2;1;2
17;2020-04-03;12;0;0;0
17;2020-04-04;8;0;0;4
17;2020-04-05;7;2;2;3
17;2020-04-06;6;1;2;2
17;2020-04-07;17;1;4;5
17;2020-04-08;22;2;2;8
17;2020-04-09;6;0;0;5
17;2020-04-10;5;1;0;3
17;2020-04-11;7;0;1;2
17;2020-04-12;8;0;1;0
18;2020-03-19;0;0;0;0
18;2020-03-20;0;0;0;0
18;2020-03-21;0;0;0;0
18;2020-03-22;0;0;0;0
18;2020-03-23;0;0;0;0
18;2020-03-24;3;2;0;1
18;2020-03-25;5;3;0;0
18;2020-03-26;3;1;1;0
18;2020-03-27;6;0;1;2
18;2020-03-28;5;3;2;0
18;2020-03-29;2;0;0;0
18;2020-03-30;16;4;2;0
18;2020-03-31;10;2;2;1
18;2020-04-01;6;1;3;1
18;2020-04-02;6;1;3;3
18;2020-04-03;10;0;1;3
18;2020-04-04;5;2;1;1
18;2020-04-05;7;1;4;1
18;2020-04-06;14;2;3;2
18;2020-04-07;9;3;2;7
18;2020-04-08;4;0;2;4
18;2020-04-09;10;0;0;1
18;2020-04-10;13;1;2;4
18;2020-04-11;7;1;1;6
18;2020-04-12;2;0;2;0
19;2020-03-19;1;0;0;0
19;2020-03-20;0;0;0;0
19;2020-03-21;3;0;0;0
19;2020-03-22;1;0;1;0
19;2020-03-23;3;1;1;0
19;2020-03-24;7;2;1;0
19;2020-03-25;4;1;0;0
19;2020-03-26;2;2;0;1
19;2020-03-27;0;0;0;0
19;2020-03-28;14;3;0;0
19;2020-03-29;5;2;0;1
19;2020-03-30;7;1;0;2
19;2020-03-31;2;0;0;1
19;2020-04-01;5;3;1;3
19;2020-04-02;2;0;0;3
19;2020-04-03;7;0;0;3
19;2020-04-04;6;0;3;1
19;2020-04-05;1;1;0;1
19;2020-04-06;5;1;2;1
19;2020-04-07;5;1;2;6
19;2020-04-08;5;1;0;3
19;2020-04-09;5;1;1;3
19;2020-04-10;4;2;0;5
19;2020-04-11;9;0;1;3
19;2020-04-12;3;0;1;1
21;2020-03-19;25;9;2;24
21;2020-03-20;39;4;1;9
21;2020-03-21;2;0;1;10
21;2020-03-22;42;10;3;27
21;2020-03-23;21;2;6;12
21;2020-03-24;42;1;9;22
21;2020-03-25;76;10;5;22
21;2020-03-26;27;0;5;12
21;2020-03-27;8;2;2;0
21;2020-03-28;52;8;1;17
21;2020-03-29;44;8;2;26
21;2020-03-30;15;1;0;33
21;2020-03-31;31;2;5;8
21;2020-04-01;56;9;3;24
21;2020-04-02;67;8;18;31
21;2020-04-03;28;6;5;17
21;2020-04-04;55;8;3;7
21;2020-04-05;22;2;4;10
21;2020-04-06;31;14;3;4
21;2020-04-07;47;7;7;14
21;2020-04-08;24;2;11;12
21;2020-04-09;9;0;1;29
21;2020-04-10;74;7;7;9
21;2020-04-11;12;0;4;32
21;2020-04-12;34;1;10;6
22;2020-03-19;4;0;1;0
22;2020-03-20;0;0;0;0
22;2020-03-21;3;2;0;0
22;2020-03-22;0;0;0;0
22;2020-03-23;2;0;0;0
22;2020-03-24;5;2;0;0
22;2020-03-25;6;0;0;0
22;2020-03-26;7;3;0;0
22;2020-03-27;10;1;0;0
22;2020-03-28;6;0;1;3
22;2020-03-29;5;1;1;2
22;2020-03-30;4;1;0;1
22;2020-03-31;4;0;1;1
22;2020-04-01;13;2;2;3
22;2020-04-02;16;9;3;3
22;2020-04-03;11;0;0;5
22;2020-04-04;5;1;1;6
22;2020-04-05;8;0;0;0
22;2020-04-06;10;1;1;4
22;2020-04-07;10;1;2;13
22;2020-04-08;1;0;1;3
22;2020-04-09;6;1;2;4
22;2020-04-10;12;0;1;5
22;2020-04-11;4;1;1;5
22;2020-04-12;9;0;2;2
23;2020-03-19;0;0;0;0
23;2020-03-20;0;0;0;0
23;2020-03-21;1;0;0;0
23;2020-03-22;1;0;0;0
23;2020-03-23;2;0;0;0
23;2020-03-24;0;0;0;0
23;2020-03-25;3;1;0;0
23;2020-03-26;2;2;0;0
23;2020-03-27;3;2;0;0
23;2020-03-28;0;2;0;0
23;2020-03-29;0;0;0;0
23;2020-03-30;2;3;0;0
23;2020-03-31;2;0;0;1
23;2020-04-01;2;0;0;0
23;2020-04-02;1;1;0;1
23;2020-04-03;0;0;0;0
23;2020-04-04;3;0;1;1
23;2020-04-05;0;0;0;0
23;2020-04-06;2;0;2;1
23;2020-04-07;1;0;0;1
23;2020-04-08;16;2;1;0
23;2020-04-09;1;0;0;1
23;2020-04-10;0;0;0;3
23;2020-04-11;2;1;0;0
23;2020-04-12;2;1;0;0
24;2020-03-19;1;1;0;0
24;2020-03-20;1;1;0;1
24;2020-03-21;1;0;0;0
24;2020-03-22;2;0;0;0
24;2020-03-23;23;0;0;9
24;2020-03-24;9;1;0;4
24;2020-03-25;6;1;0;0
24;2020-03-26;6;0;0;1
24;2020-03-27;9;1;0;0
24;2020-03-28;0;0;0;2
24;2020-03-29;0;0;0;0
24;2020-03-30;1;0;0;0
24;2020-03-31;1;0;1;1
24;2020-04-01;6;1;0;2
24;2020-04-02;4;0;0;3
24;2020-04-03;5;1;0;0
24;2020-04-04;8;2;0;2
24;2020-04-05;2;0;0;1
24;2020-04-06;3;0;0;1
24;2020-04-07;4;0;0;5
24;2020-04-08;2;0;0;3
24;2020-04-09;2;0;0;3
24;2020-04-10;6;0;0;2
24;2020-04-11;2;0;0;5
24;2020-04-12;2;1;0;0
25;2020-03-19;11;10;2;5
25;2020-03-20;12;1;1;0
25;2020-03-21;13;6;2;7
25;2020-03-22;24;0;3;4
25;2020-03-23;1;0;1;2
25;2020-03-24;23;5;1;5
25;2020-03-25;17;2;1;15
25;2020-03-26;15;1;6;8
25;2020-03-27;25;6;3;8
25;2020-03-28;6;1;1;14
25;2020-03-29;70;17;3;12
25;2020-03-30;16;1;1;5
25;2020-03-31;32;8;8;18
25;2020-04-01;26;8;0;10
25;2020-04-02;40;10;1;13
25;2020-04-03;20;14;8;21
25;2020-04-04;23;8;3;17
25;2020-04-05;21;2;3;10
25;2020-04-06;7;3;2;7
25;2020-04-07;24;10;7;9
25;2020-04-08;21;3;1;20
25;2020-04-09;15;5;1;15
25;2020-04-10;11;1;5;15
25;2020-04-11;13;2;3;14
25;2020-04-12;47;2;4;16
26;2020-03-19;15;5;1;2
26;2020-03-20;3;1;1;0
26;2020-03-21;12;3;2;1
26;2020-03-22;5;2;1;1
26;2020-03-23;12;4;2;1
26;2020-03-24;20;5;2;5
26;2020-03-25;32;6;5;3
26;2020-03-26;44;9;5;13
26;2020-03-27;30;8;3;13
26;2020-03-28;34;10;0;2
26;2020-03-29;18;6;1;0
26;2020-03-30;50;11;10;12
26;2020-03-31;27;5;7;12
26;2020-04-01;41;6;1;13
26;2020-04-02;11;1;5;16
26;2020-04-03;48;5;8;14
26;2020-04-04;23;4;3;14
26;2020-04-05;7;0;2;6
26;2020-04-06;26;7;6;8
26;2020-04-07;21;4;1;26
26;2020-04-08;19;1;5;10
26;2020-04-09;14;1;2;14
26;2020-04-10;9;2;2;11
26;2020-04-11;19;3;4;12
26;2020-04-12;14;2;2;3
27;2020-03-19;2;1;1;0
27;2020-03-20;2;0;0;0
27;2020-03-21;2;1;0;0
27;2020-03-22;5;1;0;0
27;2020-03-23;3;0;0;0
27;2020-03-24;0;0;0;0
27;2020-03-25;6;1;0;0
27;2020-03-26;11;1;1;0
27;2020-03-27;1;0;0;0
27;2020-03-28;1;0;0;1
27;2020-03-29;0;0;0;0
27;2020-03-30;4;0;2;2
27;2020-03-31;18;2;5;10
27;2020-04-01;13;0;0;7
27;2020-04-02;10;0;2;0
27;2020-04-03;11;0;1;3
27;2020-04-04;6;0;1;0
27;2020-04-05;0;0;1;0
27;2020-04-06;5;1;2;1
27;2020-04-07;9;1;7;4
27;2020-04-08;10;0;6;14
27;2020-04-09;23;0;3;4
27;2020-04-10;25;2;2;3
27;2020-04-11;7;0;0;0
27;2020-04-12;3;0;0;2
28;2020-03-19;6;1;0;0
28;2020-03-20;1;0;0;0
28;2020-03-21;3;0;0;2
28;2020-03-22;2;0;0;0
28;2020-03-23;20;8;1;0
28;2020-03-24;9;2;1;1
28;2020-03-25;15;7;1;3
28;2020-03-26;18;4;4;4
28;2020-03-27;13;6;2;3
28;2020-03-28;7;0;0;2
28;2020-03-29;27;2;1;2
28;2020-03-30;24;1;6;6
28;2020-03-31;16;2;0;5
28;2020-04-01;7;2;0;6
28;2020-04-02;46;3;2;20
28;2020-04-03;19;0;3;11
28;2020-04-04;31;2;3;13
28;2020-04-05;16;3;1;3
28;2020-04-06;13;2;4;17
28;2020-04-07;17;0;2;8
28;2020-04-08;31;3;5;20
28;2020-04-09;23;0;1;8
28;2020-04-10;25;1;3;13
28;2020-04-11;7;1;1;4
28;2020-04-12;18;0;0;1
29;2020-03-19;12;1;0;3
29;2020-03-20;1;1;1;0
29;2020-03-21;1;1;0;0
29;2020-03-22;7;0;1;3
29;2020-03-23;8;3;2;0
29;2020-03-24;10;4;1;5
29;2020-03-25;11;6;0;3
29;2020-03-26;10;1;0;3
29;2020-03-27;5;1;0;3
29;2020-03-28;15;11;0;2
29;2020-03-29;7;0;1;3
29;2020-03-30;8;4;1;1
29;2020-03-31;8;7;1;8
29;2020-04-01;14;8;0;4
29;2020-04-02;7;3;0;8
29;2020-04-03;12;3;0;7
29;2020-04-04;7;1;1;1
29;2020-04-05;6;1;1;3
29;2020-04-06;3;0;0;1
29;2020-04-07;2;1;0;3
29;2020-04-08;14;1;2;4
29;2020-04-09;9;0;0;3
29;2020-04-10;10;1;1;9
29;2020-04-11;11;1;1;4
29;2020-04-12;7;1;0;1
30;2020-03-19;2;1;1;1
30;2020-03-20;4;0;0;0
30;2020-03-21;4;0;0;4
30;2020-03-22;5;0;1;0
30;2020-03-23;3;4;0;1
30;2020-03-24;4;5;2;3
30;2020-03-25;7;2;1;1
30;2020-03-26;0;2;0;2
30;2020-03-27;11;0;1;2
30;2020-03-28;13;4;0;0
30;2020-03-29;6;2;3;0
30;2020-03-30;5;4;0;0
30;2020-03-31;18;6;1;5
30;2020-04-01;20;5;0;1
30;2020-04-02;10;6;1;9
30;2020-04-03;3;3;2;5
30;2020-04-04;0;0;1;3
30;2020-04-05;25;8;0;1
30;2020-04-06;20;5;3;3
30;2020-04-07;13;2;0;12
30;2020-04-08;8;2;4;10
30;2020-04-09;8;1;0;6
30;2020-04-10;14;3;1;12
30;2020-04-11;3;3;1;13
30;2020-04-12;2;0;3;1
31;2020-03-19;8;3;1;4
31;2020-03-20;13;5;1;0
31;2020-03-21;19;4;0;6
31;2020-03-22;14;3;0;2
31;2020-03-23;17;7;0;3
31;2020-03-24;30;10;1;13
31;2020-03-25;29;12;0;6
31;2020-03-26;37;21;0;5
31;2020-03-27;25;9;2;3
31;2020-03-28;17;6;1;10
31;2020-03-29;26;9;1;3
31;2020-03-30;34;15;0;5
31;2020-03-31;29;8;0;20
31;2020-04-01;22;13;4;18
31;2020-04-02;20;9;2;17
31;2020-04-03;16;4;0;11
31;2020-04-04;13;8;1;14
31;2020-04-05;4;2;1;6
31;2020-04-06;14;9;2;5
31;2020-04-07;16;2;3;17
31;2020-04-08;10;9;2;13
31;2020-04-09;42;4;2;22
31;2020-04-10;25;4;3;15
31;2020-04-11;14;3;2;21
31;2020-04-12;12;1;0;9
32;2020-03-19;2;2;0;0
32;2020-03-20;0;0;0;0
32;2020-03-21;1;0;0;0
32;2020-03-22;0;0;0;0
32;2020-03-23;1;0;0;0
32;2020-03-24;3;0;0;0
32;2020-03-25;3;0;0;0
32;2020-03-26;0;0;0;1
32;2020-03-27;5;1;0;0
32;2020-03-28;1;0;0;0
32;2020-03-29;4;0;0;0
32;2020-03-30;1;0;1;0
32;2020-03-31;3;0;1;2
32;2020-04-01;8;0;1;1
32;2020-04-02;4;1;0;2
32;2020-04-03;2;0;2;0
32;2020-04-04;4;0;2;1
32;2020-04-05;2;1;0;0
32;2020-04-06;1;0;0;1
32;2020-04-07;4;0;1;5
32;2020-04-08;4;0;0;1
32;2020-04-09;1;1;0;2
32;2020-04-10;1;0;0;4
32;2020-04-11;0;0;1;1
32;2020-04-12;5;0;0;0
33;2020-03-19;15;3;1;6
33;2020-03-20;6;4;0;3
33;2020-03-21;34;14;0;1
33;2020-03-22;9;1;0;0
33;2020-03-23;22;4;1;6
33;2020-03-24;43;23;0;8
33;2020-03-25;88;8;3;28
33;2020-03-26;47;9;5;17
33;2020-03-27;64;13;4;19
33;2020-03-28;31;6;4;7
33;2020-03-29;30;10;4;9
33;2020-03-30;90;15;4;37
33;2020-03-31;66;15;5;47
33;2020-04-01;52;12;2;38
33;2020-04-02;57;10;1;39
33;2020-04-03;37;6;3;17
33;2020-04-04;15;6;4;23
33;2020-04-05;15;2;2;13
33;2020-04-06;32;5;5;17
33;2020-04-07;27;5;3;19
33;2020-04-08;32;7;8;42
33;2020-04-09;32;6;4;31
33;2020-04-10;25;4;1;21
33;2020-04-11;31;4;4;24
33;2020-04-12;10;1;4;16
34;2020-03-19;24;7;2;5
34;2020-03-20;15;6;1;1
34;2020-03-21;19;4;0;9
34;2020-03-22;11;4;2;7
34;2020-03-23;23;8;3;2
34;2020-03-24;26;9;1;7
34;2020-03-25;45;9;3;5
34;2020-03-26;37;8;3;16
34;2020-03-27;38;9;2;11
34;2020-03-28;47;11;3;12
34;2020-03-29;38;7;2;2
34;2020-03-30;24;14;1;14
34;2020-03-31;38;7;5;36
34;2020-04-01;33;10;6;25
34;2020-04-02;30;6;4;17
34;2020-04-03;41;10;4;16
34;2020-04-04;11;3;8;16
34;2020-04-05;20;0;1;13
34;2020-04-06;21;6;2;12
