Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Guadeloupe,Saint-Barthélémy,Saint-Martin,Martinique,Guyane,La Réunion,Mayotte,Nouvelle-Calédonie,Total
04/04/2020,478,323,75,106,26,1402,488,1967,99,111,148,118,178,8,0,0,3,0,0,2,0,6838
05/04/2020,508,341,81,115,26,1471,520,2107,111,120,158,123,195,8,0,0,3,0,0,2,0,8078
06/04/2020,555,367,88,132,30,1574,577,2355,127,138,172,134,231,8,0,0,4,0,0,2,0,8911
07/04/2020,600,396,97,140,32,1674,635,2627,147,152,180,144,253,8,0,0,4,0,0,2,0,10328
08/04/2020,654,412,107,154,32,1781,679,2850,165,165,195,153,269,10,0,0,4,0,0,2,0,10869
09/04/2020,685,427,109,164,34,1854,715,3040,179,173,203,158,286,10,0,0,5,0,0,2,0,12210
10/04/2020,721,459,121,179,35,1952,762,3300,188,174,222,169,299,10,0,0,5,0,0,2,0,13197
11/04/2020,755,478,129,193,36,2008,806,3416,196,180,233,178,317,10,0,0,5,0,0,3,0,13832
12/04/2020,773,500,132,201,36,2064,840,3548,201,190,239,182,328,10,0,0,6,0,0,3,0,14393
13/04/2020,794,512,136,214,38,2105,873,3704,211,194,248,192,348,10,0,0,6,0,0,3,0,14967
