Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,BO,6,4,-1,-6,8,0
2020-02-15,BR,5,4,-5,8,6,0
2020-02-15,BR_AC,2,5,-2,5,5,1
2020-02-15,BR_AL,5,3,1,-9,1,0
2020-02-15,BR_AM,9,7,-2,10,6,-1
2020-02-15,BR_AP,11,6,-10,-3,4,0
2020-02-15,BR_BA,-1,1,-17,0,5,1
2020-02-15,BR_CE,-2,2,-23,1,4,1
2020-02-15,BR_DF,10,7,-8,8,8,0
2020-02-15,BR_ES,-1,4,-21,-1,7,0
2020-02-15,BR_GO,3,5,-7,4,8,0
2020-02-15,BR_MA,-3,0,-8,-7,2,1
2020-02-15,BR_MG,7,5,11,10,8,0
2020-02-15,BR_MS,6,5,1,2,5,0
2020-02-15,BR_MT,0,1,-12,0,3,1
2020-02-15,BR_PA,0,1,-5,6,5,0
2020-02-15,BR_PB,2,4,-20,6,4,1
2020-02-15,BR_PE,5,5,3,7,5,0
2020-02-15,BR_PI,-4,0,6,-9,3,1
2020-02-15,BR_PR,5,5,-4,7,6,0
2020-02-15,BR_RJ,7,6,4,13,6,-1
2020-02-15,BR_RN,5,6,-14,-1,6,1
2020-02-15,BR_RO,7,7,3,0,6,1
2020-02-15,BR_RR,9,4,-2,-3,6,0
2020-02-15,BR_RS,4,1,-8,3,2,1
2020-02-15,BR_SC,1,-1,-15,-1,3,1
2020-02-15,BR_SE,5,1,-22,-11,5,0
2020-02-15,BR_SP,6,5,6,11,8,-1
2020-02-15,BR_TO,4,0,9,-6,9,0
2020-02-15,BS,1,-3,13,11,0,-1
2020-02-15,BW,0,-8,-5,-16,7,1
2020-02-15,BY,10,9,21,11,4,-1
2020-02-15,BZ,10,4,18,19,4,-2
2020-02-15,CA,4,2,10,3,1,0
2020-02-15,CA_AB,7,3,24,7,-2,-1
2020-02-15,CA_BC,1,0,-4,2,-4,0
2020-02-15,CA_MB,5,2,20,1,1,0
2020-02-15,CA_NB,-3,-7,-13,11,-3,1
2020-02-15,CA_NL,-1,-2,-16,-1,-1,1
2020-02-15,CA_NS,-1,-6,-10,4,-1,0
2020-02-15,CA_NT,1,-4,,,-2,
2020-02-15,CA_NU,-7,,,,,
2020-02-15,CA_ON,2,3,20,5,1,-1
2020-02-15,CA_PE,-5,-8,,,-7,
2020-02-15,CA_QC,4,0,20,5,2,1
2020-02-15,CA_SK,2,-1,-6,3,-2,0
2020-02-15,CA_YT,12,7,,,,
2020-02-15,CH,-1,-1,31,6,-2,-1
2020-02-15,CH_AG,1,1,27,10,-1,-1
2020-02-15,CH_AR,8,5,,12,8,
2020-02-15,CH_BE,2,-1,28,5,0,-1
2020-02-15,CH_BL,2,-1,,12,3,-1
2020-02-15,CH_FR,3,-3,20,13,-1,-1
2020-02-15,CH_GE,-8,-5,38,-6,-7,-2
2020-02-15,CH_GL,18,10,,16,2,
2020-02-15,CH_GR,15,8,37,27,1,-1
2020-02-15,CH_JU,-3,0,,-4,-2,
2020-02-15,CH_LU,-2,-2,44,8,-3,-2
2020-02-15,CH_NE,0,0,,15,-3,-1
2020-02-15,CH_NW,2,1,,23,7,
2020-02-15,CH_OW,-3,10,,28,0,
2020-02-15,CH_SG,7,2,61,22,1,-1
2020-02-15,CH_SH,18,1,,13,9,
2020-02-15,CH_SO,-4,0,35,10,-5,-1
2020-02-15,CH_SZ,3,1,,23,-2,
2020-02-15,CH_TG,10,4,54,15,5,0
2020-02-15,CH_TI,1,-1,32,16,-2,-1
2020-02-15,CH_UR,1,8,,6,-2,
2020-02-15,CH_VD,-3,-3,33,6,-5,-1
2020-02-15,CH_VS,13,10,23,27,1,-1
2020-02-15,CH_ZG,-3,-1,,7,-5,
2020-02-15,CH_ZH,-9,-6,48,0,-5,-3
2020-02-15,CI,3,0,12,3,-1,-1
2020-02-15,CL,2,4,9,0,-3,0
2020-02-15,CL_AI,3,6,0,13,-1,
2020-02-15,CL_AN,2,-1,2,-2,-1,0
2020-02-15,CL_AP,-1,-3,3,7,-5,0
2020-02-15,CL_AR,15,12,31,15,-3,-1
2020-02-15,CL_AT,3,4,12,13,-2,0
2020-02-15,CL_BI,2,7,9,20,-2,-1
2020-02-15,CL_CO,22,17,37,18,-2,-1
2020-02-15,CL_LI,5,4,19,6,0,0
2020-02-15,CL_LL,14,13,13,13,-2,1
2020-02-15,CL_LR,29,20,32,23,-1,1
2020-02-15,CL_MA,-2,-1,2,9,-3,0
2020-02-15,CL_ML,6,9,20,20,-4,0
2020-02-15,CL_NB,8,13,19,18,-16,2
2020-02-15,CL_RM,-10,-7,-9,-7,-4,0
2020-02-15,CL_TA,5,-1,11,6,-1,1
2020-02-15,CL_VS,11,9,16,9,-2,-1
2020-02-15,CM,-1,1,4,1,2,1
2020-02-15,CO,4,5,-5,1,7,1
2020-02-15,CO_05,6,4,-3,6,7,0
2020-02-15,CO_08,13,20,16,-1,3,-2
2020-02-15,CO_11,9,9,11,3,9,-1
2020-02-15,CO_13,-6,-4,-17,-11,8,0
2020-02-15,CO_15,-7,-3,-23,-7,7,2
2020-02-15,CO_17,-7,-8,-11,-21,5,1
2020-02-15,CO_18,1,-6,-5,,8,1
2020-02-15,CO_19,-14,-8,-25,-45,-1,6
2020-02-15,CO_20,-16,-7,-14,-40,1,5
2020-02-15,CO_23,-7,-4,-8,-7,5,2
2020-02-15,CO_25,-2,0,-7,-14,7,0
2020-02-15,CO_27,-21,-10,-21,-16,2,4
2020-02-15,CO_41,-3,-2,-15,,10,1
2020-02-15,CO_44,-8,-3,-14,-29,3,5
2020-02-15,CO_47,-12,-12,-28,-36,9,2
2020-02-15,CO_50,-1,-2,-4,-12,9,1
2020-02-15,CO_52,-5,-5,-15,-21,6,3
2020-02-15,CO_54,-10,-6,-17,-17,3,3
2020-02-15,CO_63,-7,-2,-13,-8,5,1
2020-02-15,CO_66,-3,0,-4,-7,4,1
2020-02-15,CO_68,-2,0,-9,-20,8,1
2020-02-15,CO_70,-18,-14,-17,-51,7,3
2020-02-15,CO_73,-10,-7,-15,-30,5,1
2020-02-15,CO_76,7,8,-4,7,6,1
2020-02-15,CO_81,-57,-48,-48,-43,-29,
2020-02-15,CO_85,-8,-3,-21,-11,7,4
2020-02-15,CO_86,-8,4,-14,,7,5
2020-02-15,CO_88,-6,-4,-9,-1,3,
2020-02-15,CO_91,-9,-13,-10,,10,
2020-02-15,CO_95,-4,-3,-9,,6,
2020-02-15,CO_99,,,12,,,
2020-02-15,CR,5,10,4,2,4,0
2020-02-15,CV,1,-3,-3,-4,0,1
2020-02-15,CZ,13,8,37,14,3,-2
2020-02-15,CZ_10,14,9,38,15,4,-3
2020-02-15,CZ_20,16,7,46,24,4,-2
2020-02-15,CZ_31,16,11,47,11,4,-3
2020-02-15,CZ_32,14,10,33,14,4,-2
2020-02-15,CZ_41,19,13,34,20,6,-1
2020-02-15,CZ_42,15,5,46,16,4,-2
2020-02-15,CZ_51,17,14,56,25,7,-2
2020-02-15,CZ_52,13,15,41,14,1,-2
2020-02-15,CZ_53,1,7,24,10,-1,-3
2020-02-15,CZ_63,16,9,18,14,4,-1
2020-02-15,CZ_64,10,5,27,7,1,-3
2020-02-15,CZ_71,15,12,90,21,4,-2
2020-02-15,CZ_72,24,9,41,20,5,-2
2020-02-15,CZ_80,11,7,41,14,3,-2
2020-02-15,DE,6,1,45,10,0,-1
2020-02-15,DE_BB,10,5,48,9,1,0
2020-02-15,DE_BE,5,6,46,5,1,-1
2020-02-15,DE_BW,6,1,52,10,3,-1
2020-02-15,DE_BY,7,2,37,13,1,-1
2020-02-15,DE_HB,4,3,93,13,0,-1
2020-02-15,DE_HE,7,3,42,7,2,0
2020-02-15,DE_HH,6,2,51,10,1,-1
2020-02-15,DE_MV,6,-1,51,15,-2,-2
2020-02-15,DE_NI,9,1,50,17,0,-1
2020-02-15,DE_NW,5,2,61,11,1,-1
2020-02-15,DE_RP,2,0,36,6,-2,-1
2020-02-15,DE_SH,6,2,31,14,3,0
2020-02-15,DE_SL,4,-3,36,4,-4,-1
2020-02-15,DE_SN,4,-1,33,14,-3,-2
2020-02-15,DE_ST,2,-1,34,8,-3,-1
2020-02-15,DE_TH,4,1,47,13,-3,-2
2020-02-15,DK,-2,-1,-4,2,-6,0
2020-02-15,DO,0,6,1,-2,-1,1
2020-02-15,EC,2,0,3,3,-2,0
2020-02-15,EE,4,0,-8,-1,1,0
2020-02-15,EG,4,8,9,8,5,0
2020-02-15,ES,2,-1,26,8,0,-2
2020-02-15,ES_AN,5,-1,33,15,0,-2
2020-02-15,ES_AR,3,7,42,10,1,-3
2020-02-15,ES_AS,0,-1,20,8,0,-1
2020-02-15,ES_CB,6,4,53,4,-1,-2
2020-02-15,ES_CE,-3,-6,3,,-1,
2020-02-15,ES_CL,5,2,28,15,1,-3
2020-02-15,ES_CM,9,0,36,13,0,-2
2020-02-15,ES_CN,-4,-2,5,0,-2,0
2020-02-15,ES_CT,2,-1,17,8,0,-1
2020-02-15,ES_EX,4,-3,32,11,0,-2
2020-02-15,ES_GA,0,-2,-16,-2,-1,0
2020-02-15,ES_IB,5,-2,11,9,2,0
2020-02-15,ES_MC,2,-2,28,6,1,-2
2020-02-15,ES_MD,-1,-2,31,7,-1,-2
2020-02-15,ES_ML,-4,-2,6,,1,
2020-02-15,ES_NC,1,-2,34,-29,0,-2
2020-02-15,ES_PV,-3,-3,39,9,0,-3
2020-02-15,ES_RI,0,0,27,7,0,-2
2020-02-15,ES_VC,2,0,33,0,-1,-1
2020-02-15,FI,3,0,-11,0,-2,0
2020-02-15,FJ,4,1,1,4,4,1
2020-02-15,FR,-2,-1,23,12,-2,-1
2020-02-15,FR_ARA,5,6,53,34,2,-1
2020-02-15,FR_BFC,5,2,44,53,4,0
2020-02-15,FR_BRE,-6,-1,-5,6,-3,1
2020-02-15,FR_COR,2,-1,16,25,1,-1
2020-02-15,FR_CVL,0,-2,18,37,-2,-1
2020-02-15,FR_GES,2,0,43,25,-2,-1
2020-02-15,FR_HDF,-3,-2,4,7,-2,0
2020-02-15,FR_IDF,-12,-10,5,4,-8,-1
2020-02-15,FR_NAQ,5,3,38,17,1,-1
2020-02-15,FR_NOR,0,0,11,22,-3,0
2020-02-15,FR_OCC,-4,-4,32,19,-5,-2
2020-02-15,FR_PAC,1,3,37,18,0,-1
2020-02-15,FR_PDL,-4,-2,5,11,-3,0
2020-02-15,GA,0,-4,-1,0,4,1
2020-02-15,GB,-12,-7,-35,-12,-4,2
2020-02-15,GE,4,8,2,4,4,0
2020-02-15,GH,0,-2,0,-3,2,0
2020-02-15,GR,-2,0,-12,-3,1,1
2020-02-15,GT,5,1,3,4,2,-2
2020-02-15,GW,-1,,,,4,
2020-02-15,HK,-26,-4,-26,-34,-18,14
2020-02-15,HN,2,4,-1,1,2,0
2020-02-15,HR,10,2,29,5,1,-2
2020-02-15,HT,-3,1,-6,-5,2,1
2020-02-15,HU,14,6,46,16,4,-2
2020-02-15,ID,-2,-2,-8,1,5,1
2020-02-15,ID_AC,-1,-2,-7,-3,3,2
2020-02-15,ID_BA,5,6,-7,0,3,0
2020-02-15,ID_BB,-3,-3,-2,-7,6,1
2020-02-15,ID_BE,-2,-2,-10,-2,4,1
2020-02-15,ID_BT,0,0,8,1,7,0
2020-02-15,ID_GO,-4,0,24,,8,1
2020-02-15,ID_JA,2,-1,9,-3,4,0
2020-02-15,ID_JB,-6,-5,-11,3,5,1
2020-02-15,ID_JI,-2,-1,-11,-2,4,1
2020-02-15,ID_JK,2,3,16,5,6,0
2020-02-15,ID_JT,-5,-6,-16,-1,3,2
2020-02-15,ID_KB,-1,-2,-4,-12,4,1
2020-02-15,ID_KI,-2,0,-5,2,14,-1
2020-02-15,ID_KR,-1,2,4,-4,5,1
2020-02-15,ID_KS,-2,-3,-7,-6,7,2
2020-02-15,ID_KT,-2,-1,2,1,3,1
2020-02-15,ID_KU,-12,-13,-26,-12,6,3
2020-02-15,ID_LA,-1,0,-11,0,5,1
2020-02-15,ID_MA,2,1,-11,3,5,0
2020-02-15,ID_MU,-8,-4,-8,-11,4,1
2020-02-15,ID_NB,3,2,22,5,1,0
2020-02-15,ID_NT,5,2,8,10,9,-1
2020-02-15,ID_PA,5,2,2,10,9,-1
2020-02-15,ID_PB,3,2,6,2,12,1
2020-02-15,ID_RI,-1,-2,-2,-2,3,1
2020-02-15,ID_SA,6,3,-6,6,7,0
2020-02-15,ID_SB,-1,-2,-11,-3,3,1
2020-02-15,ID_SG,3,1,0,2,1,1
2020-02-15,ID_SN,1,0,2,4,8,-1
2020-02-15,ID_SR,-7,-4,-8,-10,19,1
2020-02-15,ID_SS,-3,-2,-4,2,4,1
2020-02-15,ID_ST,0,-3,0,7,10,1
2020-02-15,ID_SU,-6,-7,-13,-5,0,2
2020-02-15,IE,-11,-6,-36,-12,-4,3
2020-02-15,IL,13,9,64,14,1,-3
2020-02-15,IN,1,2,3,3,5,0
2020-02-15,IN_AN,1,-9,5,-2,6,2
2020-02-15,IN_AP,-1,-1,5,5,4,0
2020-02-15,IN_AR,1,-9,3,-4,9,1
2020-02-15,IN_AS,2,3,1,1,10,0
2020-02-15,IN_BR,4,5,3,6,6,-1
2020-02-15,IN_CH,0,0,8,4,5,-1
2020-02-15,IN_CT,1,2,4,6,0,0
2020-02-15,IN_DD,5,-5,4,12,3,0
2020-02-15,IN_DL,1,2,8,6,4,0
2020-02-15,IN_DN,5,-25,4,0,2,0
2020-02-15,IN_GA,-2,-7,-3,0,3,0
2020-02-15,IN_GJ,0,1,4,2,2,0
2020-02-15,IN_HP,9,8,9,9,19,-2
2020-02-15,IN_HR,3,3,12,5,3,-1
2020-02-15,IN_JH,-1,-1,2,4,6,0
2020-02-15,IN_JK,166,153,248,249,130,-7
2020-02-15,IN_KA,2,1,2,3,5,0
2020-02-15,IN_KL,-3,-2,-3,-3,4,1
2020-02-15,IN_LD,,,1,,9,
2020-02-15,IN_MH,-3,-1,2,3,2,0
2020-02-15,IN_ML,13,19,4,-1,10,2
2020-02-15,IN_MN,1,-1,2,7,-9,2
2020-02-15,IN_MP,2,3,3,4,0,0
2020-02-15,IN_MZ,4,10,7,8,7,0
2020-02-15,IN_NL,1,-8,6,1,18,1
2020-02-15,IN_OR,-1,0,1,4,6,0
2020-02-15,IN_PB,1,2,4,3,6,-1
2020-02-15,IN_PY,-1,-3,18,5,7,1
2020-02-15,IN_RJ,2,2,4,4,5,-1
2020-02-15,IN_SK,6,16,7,7,13,0
2020-02-15,IN_TG,2,0,1,4,1,0
2020-02-15,IN_TN,1,0,3,2,6,0
2020-02-15,IN_TR,3,9,2,5,6,0
2020-02-15,IN_UP,4,6,7,5,3,-1
2020-02-15,IN_UT,5,4,7,13,4,-1
2020-02-15,IN_WB,-3,1,-2,-1,6,1
2020-02-15,IQ,16,13,13,19,14,0
2020-02-15,IT,3,-1,35,9,0,-1
2020-02-15,IT_21,1,0,23,4,0,-1
2020-02-15,IT_23,8,5,27,12,2,-1
2020-02-15,IT_25,2,-1,50,8,-2,-1
2020-02-15,IT_34,6,1,54,18,1,-2
2020-02-15,IT_36,3,1,45,10,1,-1
2020-02-15,IT_42,3,2,41,8,1,-1
2020-02-15,IT_45,5,4,25,7,1,-2
2020-02-15,IT_52,5,0,75,13,1,-2
2020-02-15,IT_55,3,-1,55,14,-2,-2
2020-02-15,IT_57,4,-1,32,9,1,-1
2020-02-15,IT_62,4,-1,43,9,1,-2
2020-02-15,IT_65,2,2,36,9,0,-1
2020-02-15,IT_67,2,1,25,4,2,-1
2020-02-15,IT_72,2,-1,23,10,0,-2
2020-02-15,IT_75,-1,1,4,2,-1,0
2020-02-15,IT_77,-1,-1,12,0,-1,0
2020-02-15,IT_78,-2,-2,12,3,1,0
2020-02-15,IT_82,0,-2,20,1,-2,0
2020-02-15,IT_88,-2,-1,23,4,0,0
2020-02-15,IT_TN,4,2,22,12,0,-1
2020-02-15,JM,-1,-1,-4,0,4,1
2020-02-15,JO,4,4,28,2,0,-1
2020-02-15,JP,-1,4,7,1,4,0
2020-02-15,JP_01,-1,5,-1,-2,4,1
2020-02-15,JP_02,1,2,10,-4,5,-1
2020-02-15,JP_03,1,3,12,0,5,0
2020-02-15,JP_04,-2,4,19,-3,4,0
2020-02-15,JP_05,5,5,38,7,6,-1
2020-02-15,JP_06,1,3,9,-2,6,0
2020-02-15,JP_07,-1,3,23,-1,6,0
2020-02-15,JP_08,2,4,15,-2,5,0
2020-02-15,JP_09,-2,2,2,-4,3,0
2020-02-15,JP_10,-2,2,11,-2,5,0
2020-02-15,JP_11,0,4,11,0,4,0
2020-02-15,JP_12,-3,3,9,0,4,0
2020-02-15,JP_13,-2,5,9,1,4,1
2020-02-15,JP_14,-1,6,11,0,3,1
2020-02-15,JP_15,3,1,14,4,5,0
2020-02-15,JP_16,-2,3,16,1,8,-1
2020-02-15,JP_17,1,3,15,1,7,-1
2020-02-15,JP_18,2,3,26,6,7,-1
2020-02-15,JP_19,-1,0,5,-5,5,0
2020-02-15,JP_20,-2,3,6,-4,6,0
2020-02-15,JP_21,0,4,-2,0,4,0
2020-02-15,JP_22,-1,6,16,2,4,0
2020-02-15,JP_23,0,3,8,-4,4,0
2020-02-15,JP_24,-1,2,-10,-11,5,0
2020-02-15,JP_25,-3,3,13,-3,5,0
2020-02-15,JP_26,-3,2,-2,-5,2,0
2020-02-15,JP_27,0,3,2,-3,3,1
2020-02-15,JP_28,-2,3,2,-3,2,0
2020-02-15,JP_29,-1,8,-15,-7,3,1
2020-02-15,JP_30,-6,4,-4,-10,4,1
2020-02-15,JP_31,-3,6,21,-1,6,-1
2020-02-15,JP_32,1,6,12,1,8,-1
2020-02-15,JP_33,0,4,12,-1,4,0
2020-02-15,JP_34,-1,3,-5,-4,5,0
2020-02-15,JP_35,1,3,10,3,3,0
2020-02-15,JP_36,-2,4,0,1,4,0
2020-02-15,JP_37,-3,3,6,1,4,0
2020-02-15,JP_38,-4,3,-3,-1,2,1
2020-02-15,JP_39,1,3,10,4,3,1
2020-02-15,JP_40,-1,4,7,-3,4,0
2020-02-15,JP_41,-3,2,-9,-3,4,0
2020-02-15,JP_42,-2,2,-11,-7,2,0
2020-02-15,JP_43,2,4,0,3,4,0
2020-02-15,JP_44,0,2,-6,-3,3,0
2020-02-15,JP_45,-1,0,-16,-6,2,2
2020-02-15,JP_46,-3,1,-18,-2,2,1
2020-02-15,JP_47,1,1,9,2,3,0
2020-02-15,KE,2,2,10,7,2,-1
2020-02-15,KG,7,7,3,3,10,-2
2020-02-15,KH,2,0,2,-17,5,0
2020-02-15,KR,-4,0,3,-6,1,3
2020-02-15,KW,3,6,3,3,3,1
2020-02-15,KZ,7,5,1,4,6,-1
2020-02-15,LA,0,4,-1,-9,5,1
2020-02-15,LB,7,0,17,0,1,-2
2020-02-15,LI,17,4,,,,
2020-02-15,LK,3,1,5,3,3,1
2020-02-15,LT,2,4,44,9,1,-1
2020-02-15,LU,-2,-1,40,4,-2,-2
2020-02-15,LV,4,4,1,6,-1,-1
2020-02-15,LY,4,5,9,6,5,0
2020-02-15,MD,1,2,-4,0,-1,0
2020-02-15,MK,6,7,4,0,4,0
2020-02-15,ML,3,-2,3,3,4,1
2020-02-15,MM,0,0,-2,-1,4,2
2020-02-15,MN,-6,6,-18,-4,-1,3
2020-02-15,MT,6,3,21,6,3,-1
2020-02-15,MU,3,-1,-12,1,32,1
2020-02-15,MX,6,4,6,4,3,-1
2020-02-15,MX_AGU,7,6,6,-14,4,-2
2020-02-15,MX_BCN,7,4,8,8,3,-1
2020-02-15,MX_BCS,11,10,2,2,3,-1
2020-02-15,MX_CAM,9,5,12,-1,5,-2
2020-02-15,MX_CHH,6,4,10,2,3,-1
2020-02-15,MX_CHP,5,2,2,-1,2,-1
2020-02-15,MX_CMX,6,4,5,4,3,-1
2020-02-15,MX_COA,10,6,11,2,2,-1
2020-02-15,MX_COL,6,5,4,-4,2,-1
2020-02-15,MX_DUR,4,4,6,-10,4,-1
2020-02-15,MX_GRO,4,2,3,-3,3,0
2020-02-15,MX_GUA,0,6,6,-3,4,0
2020-02-15,MX_HID,5,4,12,-8,5,-1
2020-02-15,MX_JAL,9,7,18,12,4,-2
2020-02-15,MX_MEX,6,6,6,6,4,-1
2020-02-15,MX_MIC,2,2,3,-1,2,-1
2020-02-15,MX_MOR,3,4,3,1,3,-1
2020-02-15,MX_NAY,1,0,-1,6,3,0
2020-02-15,MX_NLE,10,8,10,7,6,-2
2020-02-15,MX_OAX,1,0,4,-3,2,-1
2020-02-15,MX_PUE,6,5,1,6,4,-1
2020-02-15,MX_QUE,5,6,6,10,4,-2
2020-02-15,MX_ROO,8,8,10,3,4,-2
2020-02-15,MX_SIN,3,3,4,-6,3,-1
2020-02-15,MX_SLP,4,4,7,4,3,-2
2020-02-15,MX_SON,7,6,0,-7,3,-1
2020-02-15,MX_TAB,9,7,12,9,5,-2
2020-02-15,MX_TAM,7,6,8,0,4,-1
2020-02-15,MX_TLA,9,3,11,4,5,-2
2020-02-15,MX_VER,5,6,11,5,4,-1
2020-02-15,MX_YUC,5,7,5,-2,5,-2
2020-02-15,MX_ZAC,1,-1,2,1,2,-1
2020-02-15,MY,-4,-3,0,-3,2,2
2020-02-15,MY_01,-6,-3,-10,-6,0,3
2020-02-15,MY_02,-6,-4,-5,-4,1,1
2020-02-15,MY_03,-5,-5,1,6,2,0
2020-02-15,MY_04,-6,-6,-4,0,1,1
2020-02-15,MY_05,-2,-4,16,-3,3,1
2020-02-15,MY_06,-6,-1,1,0,3,1
2020-02-15,MY_07,-3,-5,-1,-6,0,3
2020-02-15,MY_08,-5,-7,-5,4,1,2
2020-02-15,MY_09,-5,-5,-16,-27,1,2
2020-02-15,MY_10,-4,-4,-4,-2,3,2
2020-02-15,MY_11,-3,-5,6,2,2,0
2020-02-15,MY_12,-3,-4,0,-6,2,1
2020-02-15,MY_13,-5,-4,1,-14,3,2
2020-02-15,MY_16,2,1,16,-1,13,1
2020-02-15,MZ,4,1,-7,-3,1,-1
2020-02-15,"NA",-5,-8,2,-8,2,3
2020-02-15,NE,4,5,-2,4,9,-1
2020-02-15,NG,3,1,7,3,5,0
2020-02-15,NI,6,5,3,1,4,-1
2020-02-15,NL,1,1,11,3,0,0
2020-02-15,NL_DR,-6,0,18,6,1,0
2020-02-15,NL_FL,-2,-3,4,5,-1,0
2020-02-15,NL_FR,-7,-3,10,3,0,0
2020-02-15,NL_GE,2,1,15,5,2,0
2020-02-15,NL_GR,-2,-1,9,7,-2,0
2020-02-15,NL_LI,6,6,27,8,3,0
2020-02-15,NL_NB,2,2,10,6,0,0
2020-02-15,NL_NH,-2,-1,3,0,-2,0
2020-02-15,NL_OV,1,-1,17,9,-2,-1
2020-02-15,NL_UT,8,0,3,9,-1,0
2020-02-15,NL_ZE,7,4,17,9,3,0
2020-02-15,NL_ZH,0,2,8,2,-1,0
2020-02-15,NO,1,1,26,7,-1,-1
2020-02-15,NO_03,-1,-3,10,-1,-1,-1
2020-02-15,NO_11,2,0,33,4,-1,-1
2020-02-15,NO_15,5,3,56,19,0,-2
2020-02-15,NO_18,4,1,20,13,0,0
2020-02-15,NO_30,-1,0,14,5,0,-1
2020-02-15,NO_34,11,10,67,20,-1,-1
2020-02-15,NO_38,0,1,16,13,-3,0
2020-02-15,NO_42,-7,-3,-8,-2,-4,0
2020-02-15,NO_46,6,2,39,23,0,-1
2020-02-15,NO_50,1,0,37,13,0,-2
2020-02-15,NO_54,6,5,38,32,2,-1
2020-02-15,NP,3,4,3,2,2,0
2020-02-15,NZ,8,5,0,8,4,0
2020-02-15,OM,-2,-2,-3,0,0,2
2020-02-15,PA,10,11,7,9,5,-3
2020-02-15,PE,4,1,3,3,0,-1
2020-02-15,PE_AMA,0,-13,-1,-9,3,
2020-02-15,PE_ANC,2,1,6,2,1,-1
2020-02-15,PE_APU,5,3,-1,-4,-1,-1
2020-02-15,PE_ARE,1,1,3,11,-1,-1
2020-02-15,PE_AYA,2,0,0,4,-1,-1
2020-02-15,PE_CAJ,5,-2,6,-3,0,-1
2020-02-15,PE_CAL,2,4,1,3,0,-1
2020-02-15,PE_CUS,1,-4,0,0,2,0
2020-02-15,PE_HUC,-3,-8,-7,-11,-2,0
2020-02-15,PE_HUV,-1,,-9,-10,1,
2020-02-15,PE_ICA,7,0,7,9,-1,0
2020-02-15,PE_JUN,1,-5,3,0,-1,-2
2020-02-15,PE_LAL,5,1,2,-4,1,-1
2020-02-15,PE_LAM,5,-1,0,-4,-2,0
2020-02-15,PE_LIM,2,1,1,2,0,-1
2020-02-15,PE_LOR,-5,-7,-5,-1,-1,0
2020-02-15,PE_MDD,-4,-1,2,7,-1,
2020-02-15,PE_MOQ,9,4,8,4,3,-1
