key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
CH_OW,2020-06-19,-83,-4,-43,-29,-10,
CH_SG,2020-06-19,-11,1,1,-13,-14,5
CH_SH,2020-06-19,-12,13,,-12,-19,2
CH_SO,2020-06-19,-11,7,-25,-16,-16,6
CH_SZ,2020-06-19,-3,3,-41,-12,-16,5
CH_TG,2020-06-19,-5,12,25,-6,-12,4
CH_TI,2020-06-19,1,8,139,5,-21,4
CH_UR,2020-06-19,-27,0,,-11,-10,
CH_VD,2020-06-19,-13,-4,24,-20,-24,7
CH_VS,2020-06-19,-17,-1,12,-20,-17,1
CH_ZG,2020-06-19,-18,4,,-23,-24,9
CH_ZH,2020-06-19,-20,1,-5,-29,-29,10
CI,2020-06-19,-5,2,-7,-6,-7,8
CL,2020-06-19,-63,-37,-65,-65,-47,30
CL_AI,2020-06-19,-49,-25,-58,-69,-16,17
CL_AN,2020-06-19,-56,-41,-61,-55,-34,23
CL_AP,2020-06-19,-47,-29,-63,-52,-25,19
CL_AR,2020-06-19,-54,-37,-60,-60,-29,24
CL_AT,2020-06-19,-43,-26,-50,-62,-20,22
CL_BI,2020-06-19,-52,-27,-58,-49,-28,23
CL_CO,2020-06-19,-57,-37,-69,-64,-28,21
CL_LI,2020-06-19,-45,-25,-58,-42,-26,22
CL_LL,2020-06-19,-51,-36,-60,-54,-25,22
CL_LR,2020-06-19,-59,-34,-69,-63,-28,24
CL_MA,2020-06-19,-51,-34,-53,-73,-23,17
CL_ML,2020-06-19,-44,-24,-51,-52,-22,22
CL_NB,2020-06-19,-45,-35,-44,-73,-53,18
CL_RM,2020-06-19,-71,-41,-68,-69,-60,36
CL_TA,2020-06-19,-79,-56,-80,-62,-50,32
CL_VS,2020-06-19,-69,-48,-75,-65,-46,28
CM,2020-06-19,-7,-6,-17,-3,-7,7
CO,2020-06-19,-43,-15,-37,-47,-31,19
CO_05,2020-06-19,-35,-11,-30,-45,-27,16
CO_08,2020-06-19,-59,-32,-53,-68,-44,22
CO_11,2020-06-19,-50,-20,-33,-50,-43,26
CO_13,2020-06-19,-64,-35,-66,-79,-44,20
CO_15,2020-06-19,-41,-7,-46,-45,-17,17
CO_17,2020-06-19,-41,-11,-32,-74,-24,16
CO_18,2020-06-19,-25,-17,-30,,-14,12
CO_19,2020-06-19,-41,-13,-37,-15,-21,14
CO_20,2020-06-19,-42,-17,-33,-62,-18,15
CO_23,2020-06-19,-43,-18,-30,-37,-21,14
CO_25,2020-06-19,-39,-10,-31,-34,-24,20
CO_27,2020-06-19,-58,-14,-37,-63,-25,14
CO_41,2020-06-19,-33,-9,-32,,-16,13
CO_44,2020-06-19,-45,-19,-45,-51,-15,16
CO_47,2020-06-19,-54,-29,-62,-76,-27,15
CO_50,2020-06-19,-40,-17,-28,-29,-15,15
CO_52,2020-06-19,-51,-25,-40,-62,-26,17
CO_54,2020-06-19,-35,-9,-29,-66,-17,13
CO_63,2020-06-19,-41,-15,-50,-78,-21,14
CO_66,2020-06-19,-40,-7,-40,-61,-26,16
CO_68,2020-06-19,-40,-12,-37,-43,-26,16
CO_70,2020-06-19,-54,-17,-51,-83,-19,16
CO_73,2020-06-19,-39,-20,-34,-72,-21,15
CO_76,2020-06-19,-35,-11,-36,-40,-27,14
CO_81,2020-06-19,-43,-13,-43,-41,-24,14
CO_85,2020-06-19,-38,-14,-27,-40,-12,15
CO_86,2020-06-19,-36,-21,-20,-61,1,13
CO_88,2020-06-19,-63,-48,-68,-77,-38,
CO_91,2020-06-19,-87,-46,-55,,-21,
CO_95,2020-06-19,-84,-43,-35,,-6,
CO_99,2020-06-19,-67,,-12,,2,
CR,2020-06-19,-30,-10,-40,-40,-26,14
CV,2020-06-19,-43,-23,-48,-70,-32,15
CZ,2020-06-19,-7,7,7,-10,-19,4
CZ_10,2020-06-19,-21,1,-24,-17,-28,3
CZ_20,2020-06-19,6,6,33,8,-19,4
CZ_31,2020-06-19,13,11,111,0,-15,1
CZ_32,2020-06-19,-1,6,71,5,-17,2
CZ_41,2020-06-19,-2,12,16,-9,-16,2
CZ_42,2020-06-19,-5,9,8,-7,-17,3
CZ_51,2020-06-19,-4,13,-5,-12,-19,5
CZ_52,2020-06-19,-5,6,6,-23,-18,5
CZ_53,2020-06-19,-14,8,-17,-19,-15,5
CZ_63,2020-06-19,3,11,2,-3,-18,5
CZ_64,2020-06-19,-1,10,15,1,-20,4
CZ_71,2020-06-19,1,13,27,-16,-14,4
CZ_72,2020-06-19,-4,3,-4,-19,-17,6
CZ_80,2020-06-19,-7,7,-17,-17,-19,5
DE,2020-06-19,-13,-1,63,-23,-23,6
DE_BB,2020-06-19,-5,4,66,-18,-17,4
DE_BE,2020-06-19,-27,-7,4,-31,-30,7
DE_BW,2020-06-19,-15,-1,44,-24,-26,7
DE_BY,2020-06-19,-20,-4,15,-29,-25,7
DE_HB,2020-06-19,-19,-3,88,-28,-23,6
DE_HE,2020-06-19,-13,-4,73,-34,-24,6
DE_HH,2020-06-19,-22,-1,61,-31,-31,8
DE_MV,2020-06-19,9,12,377,7,-16,4
DE_NI,2020-06-19,-11,-1,130,-16,-22,6
DE_NW,2020-06-19,-11,0,93,-24,-23,5
DE_RP,2020-06-19,-9,1,100,-26,-20,6
DE_SH,2020-06-19,-3,9,181,-13,-23,6
DE_SL,2020-06-19,-12,-1,54,-32,-22,5
DE_SN,2020-06-19,-11,-3,30,-16,-18,4
DE_ST,2020-06-19,-10,-4,63,-10,-14,3
DE_TH,2020-06-19,-12,-5,69,-6,-16,3
DK,2020-06-19,-1,0,127,-20,-19,3
DO,2020-06-19,-39,-24,-33,-52,-36,16
DO_01,2020-06-19,-46,-26,-36,-55,-43,20
DO_02,2020-06-19,-29,-15,-25,,-18,
DO_03,2020-06-19,,,-26,,-30,
DO_04,2020-06-19,-33,-20,-41,-75,-32,
DO_05,2020-06-19,-49,,,,-31,
DO_06,2020-06-19,-31,-18,-25,-67,-30,11
DO_08,2020-06-19,,,-57,,-33,
DO_09,2020-06-19,-27,-15,-26,-49,-24,11
DO_10,2020-06-18,,,,,-33,
DO_11,2020-06-19,-57,-36,-68,-83,-50,22
DO_12,2020-06-19,-39,-18,-42,-76,-32,17
DO_13,2020-06-19,-24,-16,-39,-38,-27,12
DO_14,2020-06-19,-31,-14,-34,-46,-24,
DO_15,2020-06-19,-30,-18,-36,-76,-16,
DO_17,2020-06-19,-36,-12,-30,,-29,8
DO_18,2020-06-19,-43,-27,-48,-60,-35,15
DO_19,2020-06-19,-39,-13,-51,,-29,
DO_20,2020-06-19,-39,-28,-46,-38,-38,
DO_21,2020-06-19,-30,-23,-28,,-31,16
DO_22,2020-06-19,-30,-14,-17,,-21,2
DO_23,2020-06-19,-28,-9,-46,-50,-32,15
DO_24,2020-06-19,-24,-9,-42,,-28,
DO_25,2020-06-19,-35,-24,-31,-51,-31,13
DO_26,2020-06-19,,-48,-51,,-27,
DO_27,2020-06-19,-26,-11,-37,,-28,3
DO_28,2020-06-19,-33,-26,-31,,-28,11
DO_29,2020-06-19,-24,-17,-24,,-24,
DO_30,2020-06-19,,-38,-26,,-25,
DO_31,2020-06-19,,,-28,,-29,
DO_32,2020-06-19,-34,-24,-29,-47,-37,17
EC,2020-06-19,-39,-18,-40,-48,-43,24
EC_A,2020-06-19,-36,-24,-42,-52,-41,24
EC_B,2020-06-19,-34,-74,-39,,-43,4
EC_C,2020-06-19,-31,-14,-24,,-36,10
EC_D,2020-06-19,-39,-4,-34,-85,-34,4
EC_E,2020-06-19,-41,-30,-30,-64,-43,20
EC_F,2020-06-19,-29,-22,-27,-66,-35,21
EC_G,2020-06-19,-34,-7,-30,-54,-37,20
EC_H,2020-06-19,-39,-27,-41,-39,-44,29
EC_I,2020-06-19,-37,-27,-38,-57,-41,26
EC_L,2020-06-19,-40,-17,-41,-51,-43,23
EC_M,2020-06-19,-43,-22,-44,-75,-42,20
EC_N,2020-06-19,-51,-39,-32,-67,-47,
EC_O,2020-06-19,-36,-12,-40,-54,-38,20
EC_P,2020-06-19,-46,-22,-51,-42,-50,30
EC_R,2020-06-19,-26,-12,-18,-72,-32,19
EC_S,2020-06-19,-43,,-39,-49,-38,0
EC_SD,2020-06-19,-26,-18,-18,-60,-33,21
EC_SE,2020-06-19,-35,-12,-54,-48,-36,19
EC_T,2020-06-19,-38,-26,-37,-61,-41,29
EC_U,2020-06-19,-22,-37,-34,-66,-37,6
EC_W,2020-06-19,,,-58,-77,-42,
EC_X,2020-06-19,-34,-23,-40,-57,-40,31
EC_Y,2020-06-19,-54,-23,-46,-59,-41,
EC_Z,2020-06-19,-45,,-33,-62,-43,
EE,2020-06-19,3,12,150,2,-28,0
EG,2020-06-19,-47,1,-20,-42,-13,11
ES,2020-06-19,-26,-8,18,-36,-32,9
ES_AN,2020-06-19,-24,-12,7,-38,-29,7
ES_AR,2020-06-19,-23,-10,32,-35,-29,7
ES_AS,2020-06-19,-19,-4,52,-38,-26,6
ES_CB,2020-06-19,-18,-2,80,-24,-26,7
ES_CE,2020-06-19,-26,-21,5,-59,-22,9
ES_CL,2020-06-19,-34,-18,22,-36,-32,8
ES_CM,2020-06-19,-29,-11,6,-42,-26,9
ES_CN,2020-06-19,-39,-19,-27,-45,-36,12
ES_CT,2020-06-19,-23,-4,18,-33,-36,11
ES_EX,2020-06-19,-28,-12,4,-29,-23,5
ES_GA,2020-06-19,-24,-5,34,-32,-26,6
ES_IB,2020-06-19,-18,-6,18,-40,-24,6
ES_MC,2020-06-19,-24,-6,10,-27,-23,6
ES_MD,2020-06-19,-34,-9,22,-43,-45,16
ES_ML,2020-06-19,-21,-20,24,-51,-26,8
ES_NC,2020-06-19,-19,2,29,-49,-26,7
ES_PV,2020-06-19,-19,-2,51,-19,-29,7
ES_RI,2020-06-19,-24,-8,17,-40,-24,6
ES_VC,2020-06-19,-24,-11,8,-38,-28,7
FI,2020-06-19,-48,-18,517,-52,-78,5
FJ,2020-06-19,-17,-7,-8,-25,-8,14
FR,2020-06-19,-17,-4,44,-27,-30,9
FR_ARA,2020-06-19,-19,-5,30,-27,-30,8
FR_BFC,2020-06-19,-13,-3,49,-18,-25,8
FR_BRE,2020-06-19,-12,0,84,-21,-24,8
FR_COR,2020-06-19,9,8,103,-7,-20,4
FR_CVL,2020-06-19,-16,-5,32,-14,-26,8
FR_GES,2020-06-19,-18,-6,31,-30,-28,8
FR_HDF,2020-06-19,-14,-4,69,-31,-28,8
FR_IDF,2020-06-19,-31,-5,-11,-34,-42,13
FR_NAQ,2020-06-19,-12,-2,74,-20,-23,7
FR_NOR,2020-06-19,-13,-2,61,-20,-24,8
FR_OCC,2020-06-19,-10,0,66,-16,-28,6
FR_PAC,2020-06-19,-7,2,89,-19,-26,5
FR_PDL,2020-06-19,-14,-2,65,-28,-27,8
GA,2020-06-19,-25,-19,-17,-34,-17,21
GB,2020-06-19,-53,-11,20,-52,-50,19
GB_ENG_E06000001,2020-06-19,-50,-2,-28,-34,-38,15
GB_ENG_E06000002,2020-06-19,-44,-4,23,-54,-37,14
GB_ENG_E06000003,2020-06-19,-55,-9,44,-24,-40,14
GB_ENG_E06000004,2020-06-19,-44,-6,24,-14,-42,17
GB_ENG_E06000005,2020-06-19,-47,-10,-6,-51,-44,17
GB_ENG_E06000006,2020-06-19,-40,-9,57,-44,-43,17
GB_ENG_E06000007,2020-06-19,-44,-9,-2,-49,-49,19
GB_ENG_E06000008,2020-06-19,-46,-12,-42,-41,-41,16
GB_ENG_E06000009,2020-06-19,-59,-6,-28,-40,-41,15
GB_ENG_E06000010,2020-06-19,-45,-7,0,-42,-40,15
GB_ENG_E06000011,2020-06-19,-50,-8,29,-27,-43,16
GB_ENG_E06000012,2020-06-19,-43,-6,21,-33,-34,12
GB_ENG_E06000013,2020-06-19,-42,-7,4,-26,-35,14
GB_ENG_E06000014,2020-06-19,-60,-16,-19,-52,-57,21
GB_ENG_E06000015,2020-06-19,-51,-7,44,-62,-46,18
GB_ENG_E06000016,2020-06-19,-54,-14,26,-59,-45,17
GB_ENG_E06000017,2020-06-19,-51,-39,-46,,-45,
GB_ENG_E06000018,2020-06-19,-67,-15,20,-60,-52,18
GB_ENG_E06000019,2020-06-19,-54,-13,17,-29,-38,16
GB_ENG_E06000021,2020-06-19,-48,-9,7,-53,-41,15
GB_ENG_E06000022,2020-06-19,-68,-18,21,-56,-58,22
GB_ENG_E06000023,2020-06-19,-64,-15,63,-66,-59,23
GB_ENG_E06000024,2020-06-19,-54,-11,37,-64,-49,19
GB_ENG_E06000025,2020-06-19,-52,-8,53,-47,-52,21
GB_ENG_E06000026,2020-06-19,-53,-15,50,-40,-47,16
GB_ENG_E06000027,2020-06-19,-47,-8,51,-26,-42,14
GB_ENG_E06000030,2020-06-19,-51,-14,-31,-54,-48,19
GB_ENG_E06000031,2020-06-19,-42,-11,-1,-53,-42,16
GB_ENG_E06000032,2020-06-19,-46,-3,-13,-79,-40,17
GB_ENG_E06000033,2020-06-19,-46,-3,115,-54,-48,18
GB_ENG_E06000034,2020-06-19,-38,-8,5,-37,-43,18
GB_ENG_E06000035,2020-06-19,-45,-4,67,-43,-44,18
GB_ENG_E06000036,2020-06-19,-51,-16,60,-50,-55,22
GB_ENG_E06000037,2020-06-19,-51,-14,15,-44,-55,21
GB_ENG_E06000038,2020-06-19,-59,-16,34,-70,-58,24
GB_ENG_E06000039,2020-06-19,-38,-13,21,-58,-47,20
GB_ENG_E06000040,2020-06-19,-58,-9,-4,-48,-57,22
GB_ENG_E06000041,2020-06-19,-55,-17,93,-58,-61,24
GB_ENG_E06000042,2020-06-19,-47,-12,32,-52,-50,20
GB_ENG_E06000043,2020-06-19,-61,-17,47,-55,-59,21
GB_ENG_E06000044,2020-06-19,-56,-12,36,-46,-47,17
GB_ENG_E06000045,2020-06-19,-61,-8,11,-51,-50,19
GB_ENG_E06000046,2020-06-19,-51,-8,18,-38,-40,14
GB_ENG_E06000047,2020-06-19,-46,-7,21,-32,-46,17
GB_ENG_E06000049,2020-06-19,-54,-12,29,-46,-50,19
GB_ENG_E06000050,2020-06-19,-53,-9,7,-50,-51,19
GB_ENG_E06000051,2020-06-19,-50,-9,2,-36,-44,17
GB_ENG_E06000052,2020-06-19,-46,-16,22,-23,-44,14
GB_ENG_E06000054,2020-06-19,-50,-13,6,-38,-47,18
GB_ENG_E06000055,2020-06-19,-46,-7,23,-51,-48,19
GB_ENG_E06000056,2020-06-19,-45,-8,46,-24,-49,20
GB_ENG_E06000057,2020-06-19,-49,-4,29,-24,-45,16
GB_ENG_E06000059,2020-06-19,-54,-10,39,-37,-48,17
GB_ENG_E08000003,2020-06-19,-52,-14,-9,-61,-50,20
GB_ENG_E09000001,2020-06-19,-62,-14,19,-62,-58,24
GB_ENG_E10000002,2020-06-19,-52,-13,26,-46,-52,21
GB_ENG_E10000003,2020-06-19,-59,-14,38,-53,-53,21
GB_ENG_E10000006,2020-06-19,-49,-10,0,-41,-47,17
GB_ENG_E10000007,2020-06-19,-54,-8,16,-30,-45,18
GB_ENG_E10000008,2020-06-19,-52,-9,31,-37,-45,16
GB_ENG_E10000011,2020-06-19,-50,-9,48,-38,-44,16
GB_ENG_E10000012,2020-06-19,-45,-7,57,-62,-47,18
GB_ENG_E10000013,2020-06-19,-55,-14,12,-33,-47,19
GB_ENG_E10000014,2020-06-19,-54,-10,35,-45,-49,19
GB_ENG_E10000015,2020-06-19,-50,-11,42,-56,-53,21
GB_ENG_E10000016,2020-06-19,-48,-11,60,-38,-47,18
GB_ENG_E10000017,2020-06-19,-49,-10,13,-47,-44,18
GB_ENG_E10000018,2020-06-19,-48,-9,22,-40,-47,19
GB_ENG_E10000019,2020-06-19,-47,-6,16,-38,-41,15
GB_ENG_E10000020,2020-06-19,-50,-9,42,-44,-42,16
GB_ENG_E10000021,2020-06-19,-47,-9,20,-35,-43,17
GB_ENG_E10000023,2020-06-19,-55,-11,13,-34,-45,18
GB_ENG_E10000024,2020-06-19,-49,-8,12,-31,-46,18
GB_ENG_E10000025,2020-06-19,-57,-13,22,-49,-53,22
GB_ENG_E10000027,2020-06-19,-50,-10,9,-33,-42,16
GB_ENG_E10000028,2020-06-19,-50,-9,12,-37,-44,18
GB_ENG_E10000029,2020-06-19,-50,-8,49,-28,-43,16
GB_ENG_E10000030,2020-06-19,-56,-13,41,-53,-56,22
GB_ENG_E10000031,2020-06-19,-53,-7,19,-43,-50,20
GB_ENG_E10000032,2020-06-19,-49,-10,42,-72,-47,18
GB_ENG_E10000034,2020-06-19,-49,-12,33,-40,-46,18
GB_NIR_N09000001,2020-06-19,-38,-8,-45,-68,-48,19
GB_NIR_N09000002,2020-06-19,-35,-7,-4,-61,-41,16
GB_NIR_N09000003,2020-06-19,-51,-15,-31,-51,-56,20
GB_NIR_N09000004,2020-06-19,-43,-1,8,-39,-40,15
GB_NIR_N09000005,2020-06-19,-38,5,-38,-35,-41,15
GB_NIR_N09000006,2020-06-19,-45,3,22,-40,-38,16
GB_NIR_N09000007,2020-06-19,-40,-15,7,-51,-51,20
GB_NIR_N09000008,2020-06-19,-39,-4,72,-47,-45,17
GB_NIR_N09000009,2020-06-19,-41,-3,-59,-34,-35,15
GB_NIR_N09000010,2020-06-19,-41,1,28,-31,-41,17
GB_NIR_N09000011,2020-06-19,-39,-4,-3,-55,-49,18
GB_SCT_S08000016,2020-06-19,-55,-15,-4,-37,-45,16
GB_SCT_S08000017,2020-06-19,-52,-13,-5,-37,-41,14
GB_SCT_S08000022,2020-06-19,-60,-20,-3,-48,-50,16
GB_SCT_S08000025,2020-06-19,-83,-40,,,-44,
GB_SCT_S08000026,2020-06-19,-84,-49,,-30,-45,
GB_SCT_S08000029,2020-06-19,-53,-10,23,-47,-52,18
GB_WLS_W11000024,2020-06-19,-58,-16,-18,-32,-44,17
GB_WLS_W11000029,2020-06-19,-69,-15,2,-68,-60,23
GB_WLS_W11000031,2020-06-19,-57,-16,37,-52,-49,19
GE,2020-06-19,-78,-73,-69,-77,-77,4
GH,2020-06-19,-12,-2,-12,-10,-10,12
GR,2020-06-19,-9,6,68,-17,-13,2
GT,2020-06-19,-52,-33,-44,-67,-41,24
GT_AV,2020-06-19,-40,-19,-46,-39,-27,18
GT_BV,2020-06-19,-37,,-42,,-26,
GT_CM,2020-06-19,-43,-27,-36,-49,-28,19
GT_CQ,2020-06-19,-52,-45,-46,,-32,6
GT_ES,2020-06-19,-44,-37,-28,-56,-26,16
GT_GU,2020-06-19,-56,-33,-53,-72,-47,29
GT_HU,2020-06-19,-45,-17,-38,-53,-27,15
GT_IZ,2020-06-19,-42,-30,-37,-60,-25,14
GT_JA,2020-06-19,-43,-46,-39,,-23,
GT_JU,2020-06-19,-42,-23,-33,,-26,12
GT_PE,2020-06-19,-42,-35,-40,-61,-21,16
GT_PR,2020-06-19,-48,,-36,,-26,
GT_QC,2020-06-19,-37,-24,-34,-57,-20,12
GT_QZ,2020-06-19,-54,-39,-41,-63,-36,21
GT_RE,2020-06-19,-45,-31,-38,-60,-27,-1
GT_SA,2020-06-19,-57,-44,-59,-48,-42,27
GT_SM,2020-06-19,-37,-42,-33,-57,-27,18
GT_SO,2020-06-19,-56,-43,-38,-78,-33,0
GT_SR,2020-06-19,-43,-28,-44,,-29,0
GT_SU,2020-06-19,-43,-32,-41,-52,-30,17
GT_TO,2020-06-19,-37,-35,-50,,-25,
GT_ZA,2020-06-19,-44,-24,-43,-72,-26,1
GW,2020-06-19,-48,-17,-16,,-13,
HK,2020-06-19,-10,2,-14,-15,-5,8
HN,2020-06-19,-51,-25,-36,-57,-39,18
HN_AT,2020-06-19,-52,-21,-40,-58,-31,14
HN_CH,2020-06-19,-36,-19,-30,,-26,3
HN_CL,2020-06-19,-32,-14,-22,,-14,
HN_CM,2020-06-19,-47,-31,-29,-64,-24,14
HN_CP,2020-06-19,-46,-23,-48,-59,-28,2
HN_CR,2020-06-19,-52,-23,-36,-60,-41,20
HN_EP,2020-06-19,-32,-10,-26,,-13,
HN_FM,2020-06-19,-56,-28,-46,-59,-52,23
HN_IB,2020-06-19,-55,-31,,,-33,
HN_IN,2020-06-19,-75,,-32,-65,-21,
HN_LE,2020-06-19,,,-42,,-20,
HN_LP,2020-06-19,,,-52,-72,-18,
HN_OC,2020-06-19,,,-37,,-25,
HN_OL,2020-06-19,-32,-24,-24,-36,-25,
HN_SB,2020-06-19,-43,,-29,,-23,
HN_VA,2020-06-19,,,-26,,-19,
